"순번","품      목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","45건","-","-","195,672","-","-","-"
"1","마른고등어","나가사키현","2016-03-16","1,640","불검출","불검출","적합"
"2","활돔(참돔)","구마모토현","2016-03-16","17,951","불검출","불검출","적합"
"3","활돔(참돔)","에히메현","2016-03-16","5,791","불검출","불검출","적합"
"4","활돔(참돔)","에히메현","2016-03-16","6,556","불검출","불검출","적합"
"5","활돔(참돔)","에히메현","2016-03-16","9,634","불검출","불검출","적합"
"6","활꼬막(새꼬막)","사가현","2016-03-16","2,000","불검출","불검출","적합"
"7","냉장명태","홋카이도","2016-03-16","2,436","불검출","불검출","적합"
"8","냉장명태","홋카이도","2016-03-16","5,420","불검출","불검출","적합"
"9","냉장홍어","홋카이도","2016-03-16","1,318","불검출","불검출","적합"
"10","냉장갈치","오이타현","2016-03-16","85","불검출","불검출","적합"
"11","활돔(돌돔)","미에현","2016-03-16","818","불검출","불검출","적합"
"12","냉장갈치","후쿠오카현","2016-03-16","584","불검출","불검출","적합"
"13","냉장갈치","야마구치현","2016-03-16","689","불검출","불검출","적합"
"14","냉장병어","야마구치현","2016-03-16","140","불검출","불검출","적합"
"15","활가리비","홋카이도","2016-03-16","13,964","불검출","불검출","적합"
"16","활돔(돌돔)","시즈오카현","2016-03-16","268","불검출","불검출","적합"
"17","냉장갈치","와카야마현","2016-03-16","1,136","불검출","불검출","적합"
"18","냉동남방참다랑어(F,횟감)","인도양","2016-03-16","649","불검출","불검출","적합"
"19","활돔(돌돔)","와카야마현","2016-03-16","259","불검출","불검출","적합"
"20","활가리비","홋카이도","2016-03-16","7,880","불검출","불검출","적합"
"21","활가리비","홋카이도","2016-03-16","7,940","불검출","불검출","적합"
"22","활꼬막(새꼬막)","사가현","2016-03-16","1,000","불검출","불검출","적합"
"23","활해삼","나가사키현","2016-03-16","230","불검출","불검출","적합"
"24","냉장갈치","오이타현","2016-03-16","555","불검출","불검출","적합"
"25","냉장명태","홋카이도","2016-03-16","1,992","불검출","불검출","적합"
"26","냉장명태","홋카이도","2016-03-16","1,584","불검출","불검출","적합"
