"순번","품      목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","16건","-","-","94,634","-","-","-"
"1","활가리비","홋카이도","2016-03-11","6,985","불검출","불검출","적합"
"2","활가리비","홋카이도","2016-03-11","7,343","불검출","불검출","적합"
"3","냉동청상아리(F)","태평양","2016-03-11","10,243","불검출","불검출","적합"
"4","냉동청상아리(F)","인도양","2016-03-11","2,782","불검출","불검출","적합"
"5","냉장홍어","홋카이도","2016-03-11","1,758","불검출","불검출","적합"
"6","냉장명태","홋카이도","2016-03-11","247","불검출","불검출","적합"
"7","냉장대구","홋카이도","2016-03-11","1,127","불검출","불검출","적합"
"8","냉장명태","홋카이도","2016-03-11","247","불검출","불검출","적합"
"9","냉장홍어","홋카이도","2016-03-11","203","불검출","불검출","적합"
"10","냉장대구","홋카이도","2016-03-11","1,120","불검출","불검출","적합"
"11","냉동남방참다랑어","인도양","2016-03-11","13,000","불검출","불검출","적합"
"12","냉동새우살","도야마현","2016-03-11","80","불검출","불검출","적합"
"13","냉동멸치","가고시마현","2016-03-11","24,000","불검출","불검출","적합"
"14","냉동멸치","오사카부","2016-03-11","24,000","불검출","불검출","적합"
"15","활장어(먹장어)","나가사키현","2016-03-11","1,399","불검출","불검출","적합"
"16","활해삼","나가사키현","2016-03-11","100","불검출","불검출","적합"
