"","","제조·생산지","제조일자","중량
(kg)","검사결과","",""
"순번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","118","","333,034","","",""
"1","소스류","사이타마현","2014-11-05","120","불검출","불검출","적합"
"2","청주","후쿠이현","2015-01-20","99.36","불검출","불검출","적합"
"3","청주","후쿠이현","2015-01-19","77.76","불검출","불검출","적합"
"4","청주","후쿠이현","2015-01-21","356.4","불검출","불검출","적합"
"5","볶은커피","미에현","2014-12-23","135","불검출","불검출","적합"
"6","복합조미식품","효고현","2014-11-05","960","불검출","불검출","적합"
"7","소스류","지바현","2014-11-26","1,200","불검출","불검출","적합"
"8","청주","도야마현","2015-01-21","86.4","불검출","불검출","적합"
"9","소주","가고시마현","2015-01-13","237.6","불검출","불검출","적합"
"10","청주","사가현","2015-01-01","324","불검출","불검출","적합"
"11","소주","후쿠오카현","2014-12-23","280.8","불검출","불검출","적합"
"12","청주","아이치현","2014-10-16","43.2","불검출","불검출","적합"
