"","","제조·생산지","제조일자","중량
(kg)","검사결과","",""
"순번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","146건","","327,822","","",""
"1","소스류","훗카이도","2014-12-05","400","불검출","불검출","적합"
"2","소스류","훗카이도","2014-12-04","400","불검출","불검출","적합"
"3","청주","아오모리현","2014-11-19","43.2","불검출","불검출","적합"
"4","과자(비스킷)","이바라키현","2014-10-24","603.2","불검출","불검출","적합"
"5","어묵","사가현","2014-09-01","900","불검출","불검출","적합"
"6","어묵","사가현","2014-11-01","1,680","불검출","불검출","적합"
"7","어묵","사가현","2014-11-01","588","불검출","불검출","적합"
"8","어묵","사가현","2014-11-01","900","불검출","불검출","적합"
"9","어묵","사가현","2014-11-01","301","불검출","불검출","적합"
"10","어묵","사가현","2014-11-01","96","불검출","불검출","적합"
"11","카레","아이치현","2014-10-16","840","불검출","불검출","적합"
"12","드레싱","사가현","2014-11-12","4,500","불검출","불검출","적합"
"13","드레싱","오사카부","2014-11-14","135","불검출","불검출","적합"
