"순번","품목명","제조·생산지","제조일자","중량
(kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/kg)","요오드
(기준:300Bq/kg)","판정"
"14","청주","니가타현","2014-11-21","10,800","불검출","불검출","적합"
"15","드레싱","오사카부","2014-12-01","180","불검출","불검출","적합"
"16","마요네즈","효고현","2014-11-25","400","불검출","불검출","적합"
"17","인스턴트커피","오사카부","2014-11-06","43.2","불검출","불검출","적합"
"18","인스턴트커피","오사카부","2014-10-02","43.2","불검출","불검출","적합"
"19","볶은커피","효고현","2014-06-06","80","불검출","불검출","적합"
"20","볶은커피","효고현","2014-11-08","40.32","불검출","불검출","적합"
"21","볶은커피","효고현","2014-10-19","46.08","불검출","불검출","적합"
"22","소스류","지바현","2014-12-01","1,416","불검출","불검출","적합"
"23","카레","도치기현","2014-09-29","9,246","불검출","불검출","적합"
"24","양조간장","지바현","2014-11-14","679.5","불검출","불검출","적합"
"25","소스류","지바현","2014-11-10","3,600","불검출","불검출","적합"
"26","카레","도치기현","2014-10-27","3,174","불검출","불검출","적합"
"27","당류가공품","아이치현","2014-11-18","120","불검출","불검출","적합"
"28","미강유(현미유)","아이치현","2014-09-22","330","불검출","불검출","적합"
"29","면류첨가알칼리제","오사카부","2014-11-21","100","불검출","불검출","적합"
"30","소스류","나가사키현","2014-11-28","8,778","불검출","불검출","적합"
"31","소스류","나가사키현","2014-12-04","1,306.94","불검출","불검출","적합"
"32","맥주","후쿠오카현","2014-10-01","72,750","불검출","불검출","적합"
"33","자당지방산에스테
르","미에현","2014-11-13","1,440","불검출","불검출","적합"
"34","초콜릿가공품","도쿄도","2014-11-22","12.5","불검출","불검출","적합"
"35","초콜릿가공품","도쿄도","2014-11-26","41.8","불검출","불검출","적합"
"36","소스류","후쿠오카현","2014-12-04","1,056","불검출","불검출","적합"
"37","청주","히로시마현","2014-10-28","86.4","불검출","불검출","적합"
"38","청주","히로시마현","2014-10-09","324","불검출","불검출","적합"
"39","청주","히로시마현","2014-10-03","540","불검출","불검출","적합"
"40","청주","히로시마현","2014-10-09","266.4","불검출","불검출","적합"
"41","청주","나라현","2014-11-15","267.84","불검출","불검출","적합"
"42","청주","후쿠이현","2014-09-27","12.96","불검출","불검출","적합"
"43","청주","후쿠이현","2014-10-15","25.92","불검출","불검출","적합"
"44","기타가공품","오키나와현","2014-12-01","60","불검출","불검출","적합"
"45","과자(웨이퍼)","니가타현","2014-11-13","77.04","불검출","불검출","적합"
"46","혼합제제","효고현","2014-12-09","150","불검출","불검출","적합"
"47","혼합제제","효고현","2014-12-02","45","불검출","불검출","적합"
"48","혼합제제","효고현","2014-12-08","15","불검출","불검출","적합"
"49","혼합제제","효고현","2014-12-08","30","불검출","불검출","적합"
"50","녹차추출물/알로","기후현","2014-12-03","95","불검출","불검출","적합"
