"순번","품목명","제조·생산지","제조일자","중량
(kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/kg)","요오드
(기준:300Bq/kg)","판정"
"13","자당지방산에스테
르","미에현","2014-10-24","2,770","불검출","불검출","적합"
"14","자당지방산에스테
르","미에현","2014-11-21","2,160","불검출","불검출","적합"
"15","폴리글리세린지방
산에스테르","미에현","2014-04-22","90","불검출","불검출","적합"
"16","빵류(카스텔라)","오사카부","2014-12-08","42.24","불검출","불검출","적합"
"17","빵류(카스텔라)","오사카부","2014-12-08","48","불검출","불검출","적합"
"18","프로테아제(곰팡이
성:SAP)","아이치현","2014-11-20","41","불검출","불검출","적합"
"19","복합조미식품","가나가와현","2014-10-28","200","불검출","불검출","적합"
"20","복합조미식품","가나가와현","2014-09-09","700","불검출","불검출","적합"
"21","복합조미식품","가나가와현","2014-10-20","130","불검출","불검출","적합"
"22","트랜스글루타미나
아제","가나가와현","2014-10-11","10","불검출","불검출","적합"
"23","트랜스글루타미나
아제","가나가와현","2014-10-17","140","불검출","불검출","적합"
"24","트랜스글루타미나
아제","가나가와현","2014-10-07","240","불검출","불검출","적합"
"25","청주","야마가타현","2014-10-24","172.8","불검출","불검출","적합"
"26","청주","야마가타현","2014-11-12","360","불검출","불검출","적합"
"27","청주","효고현","2014-11-19","1,080","불검출","불검출","적합"
"28","청주","효고현","2014-11-21","7,200","불검출","불검출","적합"
"29","소주","가고시마현","2014-07-31","144","불검출","불검출","적합"
"30","청주","효고현","2014-12-05","1,036.8","불검출","불검출","적합"
"31","맥주","오이타현","2014-12-02","82,800","불검출","불검출","적합"
"32","기타식초","도치기현","2014-10-28","1,290","불검출","불검출","적합"
"33","청주","효고현","2014-12-03","6,912","불검출","불검출","적합"
"34","소스류","가나가와현","2014-12-08","401","불검출","불검출","적합"
"35","소스류","교토부","2014-11-28","162.7","불검출","불검출","적합"
"36","마요네즈","시가현","2014-12-08","400","불검출","불검출","적합"
"37","글루타미나아제","아이치현","2014-12-09","81","불검출","불검출","적합"
"38","복합조미식품","오사카부","2014-12-05","24","불검출","불검출","적합"
"39","프로테아제(곰팡이
성:SAP)","아이치현","2014-12-03","301","불검출","불검출","적합"
"40","소스류","오사카부","2014-12-06","15","불검출","불검출","적합"
"41","곡류가공품","효고현","2014-09-08","500","불검출","불검출","적합"
"42","곡류가공품","효고현","2014-09-05","800","불검출","불검출","적합"
"43","과자(스낵과자)","아이치현","2014-11-18","207","불검출","불검출","적합"
