"순번","품목명","제조·생산지","제조일자","중량
(kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/kg)","요오드
(기준:300Bq/kg)","판정"
"44","소스류","오사카부","2014-11-27","2,160","불검출","불검출","적합"
"45","즉석조리식품","지바현","2014-11-10","28.44","불검출","불검출","적합"
"46","빵류(그외 빵류)","가가와현","2014-11-15","48","불검출","불검출","적합"
"47","농산물조림","야마가타현","2014-11-14","300","불검출","불검출","적합"
"48","빵류(카스텔라)","도쿄도","2014-11-15","38.4","불검출","불검출","적합"
"49","카레","나가노현","2014-11-12","400","불검출","불검출","적합"
"50","카레","나가노현","2014-11-14","1,000","불검출","불검출","적합"
"51","빵류(카스텔라)","도쿄도","2014-11-15","38.4","불검출","불검출","적합"
"52","침출차","오사카부","2014-12-01","54","불검출","불검출","적합"
"53","시클로덱스트린시
럽","시즈오카현","2014-11-21","10,000","불검출","불검출","적합"
"54","혼합제제","효고현","2014-12-09","34","불검출","불검출","적합"
"55","혼합제제","효고현","2014-12-05","51","불검출","불검출","적합"
"56","소스류","아이치현","2014-10-23","36","불검출","불검출","적합"
"57","혼합제제","효고현","2014-12-08","34","불검출","불검출","적합"
"58","국수","사이타마현","2014-11-26","960","불검출","불검출","적합"
"59","혼합제제","효고현","2014-12-05","34","불검출","불검출","적합"
"60","어묵","시마네현","2014-12-01","600","불검출","불검출","적합"
"61","어묵","시마네현","2014-11-30","672","불검출","불검출","적합"
"62","빵류(카스텔라)","사이타마현","2014-11-15","48","불검출","불검출","적합"
"63","빵류(카스텔라)","사이타마현","2014-11-15","28.8","불검출","불검출","적합"
"64","어묵","시마네현","2014-12-01","420","불검출","불검출","적합"
"65","양조간장","아이치현","2014-11-18","972","불검출","불검출","적합"
"66","어묵","시마네현","2014-11-07","250","불검출","불검출","적합"
"67","어묵","시마네현","2014-11-30","2,862","불검출","불검출","적합"
"68","당류가공품","시즈오카현","2014-11-21","120","불검출","불검출","적합"
"69","기타가공품","훗카이도","2014-11-27","3,008","불검출","불검출","적합"
"70","혼합제제","시가현","2014-12-17","20","불검출","불검출","적합"
"71","식초절임","나가노현","2014-12-08","750","불검출","불검출","적합"
"72","기타가공품","훗카이도","2014-10-12","10","불검출","불검출","적합"
"73","혼합제제","효고현","2014-12-12","30","불검출","불검출","적합"
"74","소스류","가나가와현","2014-12-02","474.75","불검출","불검출","적합"
"75","소스류","가나가와현","2014-12-08","826","불검출","불검출","적합"
"76","소스류","가나가와현","2014-12-05","486","불검출","불검출","적합"
"77","소스류","가나가와현","2014-12-02","261","불검출","불검출","적합"
"78","곡류가공품","나가사키현","2014-12-04","940","불검출","불검출","적합"
"79","소스류","가나가와현","2014-12-02","234","불검출","불검출","적합"
"80","소스류","가나가와현","2014-12-02","558.6","불검출","불검출","적합"
"81","소스류","가나가와현","2014-12-02","481.68","불검출","불검출","적합"
"82","소스류","나가사키현","2014-12-05","1,310.7","불검출","불검출","적합"
"83","소스류","가나가와현","2014-12-02","1,161.68","불검출","불검출","적합"
"84","키 토 산 / 키 토 올 리
고당제품","교토부","2014-12-01","129","불검출","불검출","적합"
