"순번","품목","원산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","12건","-","-","1,769,033","-","-","-"
"1","냉동꽁치","대만","2015-1-2","139,044","불검출","불검출","적합"
"2","냉동꽁치","대만","2015-1-2","342,386","불검출","불검출","적합"
"3","냉동꽁치","대만","2015-1-2","66,671","불검출","불검출","적합"
"4","냉동꽁치","대만","2015-1-2","147,008","불검출","불검출","적합"
"5","냉동꽁치","대만","2015-1-2","174,942","불검출","불검출","적합"
"6","냉동꽁치","대만","2015-1-2","124,276","불검출","불검출","적합"
"7","냉동상어(청상아리,F)","대만","2015-1-2","1,450","불검출","불검출","적합"
"8","냉동꽁치","대만","2015-1-2","111,600","불검출","불검출","적합"
"9","냉동꽁치","대만","2015-1-2","262,124","불검출","불검출","적합"
"10","냉동꽁치","대만","2015-1-2","267,872","불검출","불검출","적합"
"11","냉동꽁치","대만","2015-1-2","111,600","불검출","불검출","적합"
"12","냉동명태(F)","러시아","2015-1-2","20,060","불검출","불검출","적합"
