"순번","품목","원산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","15건","","","1,641,184","-","-","-"
"1","냉동꽁치","대만","2014-12-31","282,338","불검출","불검출","적합"
"2","냉동꽁치","대만","2014-12-31","132,402","불검출","불검출","적합"
"3","냉동꽁치","대만","2014-12-31","393,414","불검출","불검출","적합"
"4","냉동고등어(F)","중국","2014-12-31","2,000","불검출","불검출","적합"
"5","냉동꽁치","대만","2014-12-31","158,726","불검출","불검출","적합"
"6","냉동꽁치","대만","2014-12-31","208,715","불검출","불검출","적합"
"7","냉동까지가자미","러시아","2014-12-31","20,544","불검출","불검출","적합"
"8","냉동가자미","러시아","2014-12-31","645","불검출","불검출","적합"
"9","냉동명태(F)","러시아","2014-12-31","5,310","불검출","불검출","적합"
"10","냉동명태(F)","러시아","2014-12-31","9,090","불검출","불검출","적합"
"11","냉동눈다랑어(F,횟감)","대만","2014-12-31","3,000","불검출","불검출","적합"
"12","냉동꽁치","대만","2014-12-31","111,600","불검출","불검출","적합"
"13","냉동꽁치","대만","2014-12-31","111,600","불검출","불검출","적합"
"14","냉동꽁치","대만","2014-12-31","89,280","불검출","불검출","적합"
"15","냉동꽁치","대만","2014-12-31","111,600","불검출","불검출","적합"
