"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 170건","","","","979,654","","",""
"1","청주","야마가타현","2017-11-02","43","불검출","불검출","적합"
"2","어묵","시즈오카현","2017-11-16","637","불검출","불검출","적합"
"3","청주","니가타현","2017-11-22","720","불검출","불검출","적합"
"4","청주","야마가타현","2017-11-14","86","불검출","불검출","적합"
"5","청주","아키타현","2017-11-20","173","불검출","불검출","적합"
"6","청주","고치현","2017-11-06","432","불검출","불검출","적합"
"7","청주","나라현","2017-11-16","1,296","불검출","불검출","적합"
"8","소주","미야자키현","2017-08-28","86","불검출","불검출","적합"
"9","소주","미야자키현","2017-10-06","130","불검출","불검출","적합"
"10","청주","야마구치현","2017-11-09","259","불검출","불검출","적합"
"11","청주","야마구치현","2017-11-09","1,296","불검출","불검출","적합"
"12","리큐르","고치현","2017-11-06","86","불검출","불검출","적합"
"13","청주","니가타현","2017-10-23","1,814","불검출","불검출","적합"
