"순번","품목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"45","냉동갈치","와카야마현","2017-12-28","9,656","불검출","불검출","적합"
"46","활우렁쉥이","홋카이도","2017-12-28","16,533","불검출","불검출","적합"
"47","활우렁쉥이","홋카이도","2017-12-28","8,200","불검출","불검출","적합"
"48","냉장명태","홋카이도","2017-12-28","5,188","불검출","불검출","적합"
"49","냉장갈치","오이타현","2017-12-28","465","불검출","불검출","적합"
"50","냉장갈치","오이타현","2017-12-28","800","불검출","불검출","적합"
"51","냉동방어(F,포장횟감)","구마모토현","2017-12-28","89","불검출","불검출","적합"
"52","활방어","에히메현","2017-12-28","3,979","불검출","불검출","적합"
"53","활우렁쉥이","홋카이도","2017-12-28","4,700","불검출","불검출","적합"
"54","냉장병어","와카야마현","2017-12-28","336","불검출","불검출","적합"
"55","냉장명태","홋카이도","2017-12-28","5,680","불검출","불검출","적합"
"56","냉장갈치","오이타현","2017-12-28","695","불검출","불검출","적합"
"57","냉장명태","홋카이도","2017-12-28","8,800","불검출","불검출","적합"
"58","냉장준치","후쿠오카현","2017-12-28","110","불검출","불검출","적합"
"59","활우렁쉥이","홋카이도","2017-12-28","8,505","불검출","불검출","적합"
"60","냉장명태","홋카이도","2017-12-28","6,097","불검출","불검출","적합"
"61","냉장갈치","가나가와현","2017-12-28","4,000","불검출","불검출","적합"
"62","냉장가오리","야마구치현","2017-12-28","160","불검출","불검출","적합"
"63","냉장갈치","에히메현","2017-12-28","1,200","불검출","불검출","적합"
"64","활우렁쉥이","홋카이도","2017-12-28","9,220","불검출","불검출","적합"
"합계","","-","-","315,345","-","-","-"
