"순번","품목명","제조·생산지","제조일자
(유통기한)","수입
중량
(kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/kg)","요오드
(기준:300Bq/kg)","판정"
"85","효모식품","가나가와현","2018-10-31","330","불검출","불검출","적합"
"86","즉석조리식품","가나가와현","2018-11-01","15,519","불검출","불검출","적합"
"87","즉석조리식품","가나가와현","2018-11-05","9,813","불검출","불검출","적합"
"88","즉석조리식품","가나가와현","2018-10-31","4,281","불검출","불검출","적합"
"89","트랜스글루타미나아제","가나가와현","2018-10-11","480","불검출","불검출","적합"
"90","혼합제제","오사카부","2018-11-28","900","불검출","불검출","적합"
"91","혼합제제","오사카부","2018-11-28","1,008","불검출","불검출","적합"
"92","청주","효고현","2018-11-13","10,800","불검출","불검출","적합"
"93","청주","효고현","2018-11-13","259","불검출","불검출","적합"
"94","청주","교토부","2018-10-31","6,689","불검출","불검출","적합"
"95","청주","교토부","2018-11-16","259","불검출","불검출","적합"
"96","청주","효고현","2018-11-12","2,700","불검출","불검출","적합"
"97","청주","교토부","2018-11-21","43","불검출","불검출","적합"
"98","혼합제제","오사카부","2018-12-05","165","불검출","불검출","적합"
"99","합성향료","시가현","2018-11-29","75","불검출","불검출","적합"
"100","합성향료","시가현","2018-11-28","75","불검출","불검출","적합"
"101","혼합제제","효고현","2018-11-29","60","불검출","불검출","적합"
"102","합성향료","효고현","2018-11-29","30","불검출","불검출","적합"
"103","합성향료","시가현","2018-11-27","50","불검출","불검출","적합"
"104","혼합제제","효고현","2018-11-12","30","불검출","불검출","적합"
"105","혼합제제","효고현","2018-11-08","15","불검출","불검출","적합"
"106","합성향료","효고현","2018-11-29","15","불검출","불검출","적합"
"107","합성향료","효고현","2018-11-30","15","불검출","불검출","적합"
"108","합성향료","효고현","2018-11-09","30","불검출","불검출","적합"
"109","혼합제제","사이타마현","2018-11-20","40","불검출","불검출","적합"
"110","혼합제제","효고현","2018-12-03","15","불검출","불검출","적합"
"111","합성향료","사이타마현","2018-10-31","300","불검출","불검출","적합"
"112","혼합제제","효고현","2018-11-12","60","불검출","불검출","적합"
"113","맥주","후쿠오카현","2018-11-20","244,272","불검출","불검출","적합"
"114","혼합제제","사이타마현","2018-11-27","54","불검출","불검출","적합"
"115","혼합제제","사이타마현","2018-10-01","500","불검출","불검출","적합"
"116","혼합제제","사이타마현","2018-11-26","16","불검출","불검출","적합"
"117","혼합제제","사이타마현","2018-07-18","540","불검출","불검출","적합"
"118","혼합제제","사이타마현","2018-11-26","600","불검출","불검출","적합"
"119","혼합제제","사이타마현","2018-11-27","252","불검출","불검출","적합"
