"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 171건","","","","696,370","","",""
"1","청주","도치기현","2018-07-14","432","불검출","불검출","적합"
"2","전분","가고시마현","2018-08-18","20","불검출","불검출","적합"
"3","과자","니가타현","2018-11-12","39","불검출","불검출","적합"
"4","향신료조제품","아이치현","2018-10-04","300","불검출","불검출","적합"
"5","된장","나가노현","2018-11-17","300","불검출","불검출","적합"
"6","된장","히로시마현","2018-11-17","20","불검출","불검출","적합"
"7","된장","히로시마현","2018-11-17","80","불검출","불검출","적합"
"8","된장","아이치현","2018-11-06","20","불검출","불검출","적합"
"9","혼합장","교토부","2018-11-08","120","불검출","불검출","적합"
"10","당절임","와카야마현","2018-03-01","12","불검출","불검출","적합"
"11","곡류가공품","아이치현","2018-10-31","13","불검출","불검출","적합"
"12","청국장","훗카이도","2018-11-17","2,970","불검출","불검출","적합"
"13","양조간장","기후현","2018-11-05","54","불검출","불검출","적합"
"14","기타가공품","가나가와현","2018-11-04","14","불검출","불검출","적합"
