"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 104건","","","","1,339,600","","",""
"1","소주","나가사키현","2018-10-15","43","불검출","불검출","적합"
"2","소주","나가사키현","2018-10-25","43","불검출","불검출","적합"
"3","어묵","시마네현","2018-11-16","1,800","불검출","불검출","적합"
"4","어묵","시마네현","2018-11-16","6,174","불검출","불검출","적합"
"5","과자","니가타현","2018-10-12","87","불검출","불검출","적합"
"6","캔디류","미에현","2018-10-29","127","불검출","불검출","적합"
"7","캔디류","미에현","2018-11-01","65","불검출","불검출","적합"
"8","숙면","구마모토현","2018-11-09","1,584","불검출","불검출","적합"
"9","과자","사이타마현","2018-11-14","240","불검출","불검출","적합"
"10","혼합제제","사이타마현","2018-10-05","54","불검출","불검출","적합"
"11","혼합제제","사이타마현","2018-11-26","24","불검출","불검출","적합"
"12","기타천연착향료","사이타마현","2018-11-16","24","불검출","불검출","적합"
"13","혼합제제","사이타마현","2018-11-26","36","불검출","불검출","적합"
"14","혼합제제","사이타마현","2018-05-07","200","불검출","불검출","적합"
