"순번","품목명","제조·생산지","제조일자","수입
중량
(kg)","검사결과","",""
"","","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 180건","","","","1,169,573","","",""
"1","밀크초콜릿","가나가와현","2017-02-16","300","불검출","불검출","적합"
"2","혼합제제","오카야마현","2017-02-28","45","불검출","불검출","적합"
"3","혼합제제","오카야마현","2017-03-01","30","불검출","불검출","적합"
"4","화이트초콜릿","가나가와현","2017-02-06","300","불검출","불검출","적합"
"5","초콜릿","가나가와현","2017-02-22","300","불검출","불검출","적합"
"6","초콜릿","가나가와현","2017-01-26","300","불검출","불검출","적합"
"7","히알루론산제품","기후현","2017-03-02","39.6","불검출","불검출","적합"
"8","청주","니가타현","2017-02-23","43.2","불검출","불검출","적합"
"9","기타가공품","히로시마현","2016-04-13","10","불검출","불검출","적합"
"10","빵류(파이)","훗카이도","2017-02-17","12,773.4","불검출","불검출","적합"
"11","청주","니가타현","2017-02-03","129.6","불검출","불검출","적합"
"12","청주","니가타현","2017-02-07","345.6","불검출","불검출","적합"
"13","청주","니가타현","2017-02-08","64.8","불검출","불검출","적합"
