"순번","품목","원산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","7건","-","-","755,428","-","-","-"
"1","냉동눈다랑어(목살,횟감)","중국","2015-10-07","930","불검출","불검출","적합"
"2","냉동눈다랑어(볼살,횟감)","대만","2015-10-07","240","불검출","불검출","적합"
"3","냉동대구","러시아","2015-10-07","1,054","불검출","불검출","적합"
"4","냉동명태","러시아","2015-10-07","738,289","불검출","불검출","적합"
"5","냉동대구(목살)","러시아","2015-10-07","165","불검출","불검출","적합"
"6","냉동명태(F)","러시아","2015-10-07","10,000","불검출","불검출","적합"
"7","냉동청상아리","대만","2015-10-07","4,750","불검출","불검출","적합"
