"검사결과
수입
제조일자","","","","","","",""
"순번
품목명
제조·생산지
중량
세슘
요오드
(유통기한)
판정
(kg)
(기준:100Bq/kg)
(기준:300Bq/kg)","","","","","","",""
"147","액상차","시가현","2018-09-01","11,400","불검출","불검출","적합"
"148","혼합장","히로시마현","2018-09-18","12,000","불검출","불검출","적합"
"149","초콜릿가공품","훗카이도","2018-09-21","47","불검출","불검출","적합"
"150","초콜릿","훗카이도","2018-09-21","59","불검출","불검출","적합"
"151","화이트초콜릿","훗카이도","2018-09-21","375","불검출","불검출","적합"
"152","기타 수산물가공품","후쿠시마현","2018-09-11","480","불검출","불검출","적합"
"153","초콜릿가공품","훗카이도","2018-09-21","65","불검출","불검출","적합"
"154","화이트초콜릿","훗카이도","2018-09-21","23","불검출","불검출","적합"
"155","소스","나가사키현","2018-09-06","11,700","불검출","불검출","적합"
"156","소스","나가사키현","2018-09-04","6,370","불검출","불검출","적합"
"157","소스","나가사키현","2018-08-30","2,912","불검출","불검출","적합"
"158","식물성크림","히로시마현","2018-08-29","192","불검출","불검출","적합"
"159","식물성크림","히로시마현","2018-09-04","360","불검출","불검출","적합"
"160","식물성크림","히로시마현","2018-09-12","960","불검출","불검출","적합"
"161","소스","사가현","2018-09-08","900","불검출","불검출","적합"
"162","소스","사가현","2018-08-24","900","불검출","불검출","적합"
"163","과·채가공품","오카야마현","2018-09-10","802","불검출","불검출","적합"
