"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 163건","","","","356,434","","",""
"1","캔디류","나가노현","2018-09-11","121","불검출","불검출","적합"
"2","기타가공품","지바현","2018-08-23","69","불검출","불검출","적합"
"3","소주","가고시마현","2018-08-08","194","불검출","불검출","적합"
"4","청주","아이치현","2018-08-23","86","불검출","불검출","적합"
"5","청주","니가타현","2018-08-22","130","불검출","불검출","적합"
"6","소주","후쿠오카현","2018-06-05","65","불검출","불검출","적합"
"7","소스","후쿠오카현","2018-09-25","6,600","불검출","불검출","적합"
"8","곡류가공품","후쿠오카현","2018-09-26","3,980","불검출","불검출","적합"
"9","숙면","구마모토현","2018-09-24","4,266","불검출","불검출","적합"
"10","숙면","구마모토현","2018-08-21","184","불검출","불검출","적합"
"11","건면","구마모토현","2018-08-09","300","불검출","불검출","적합"
"12","숙면","구마모토현","2018-09-22","113","불검출","불검출","적합"
"13","건면","구마모토현","2018-09-12","443","불검출","불검출","적합"
"14","건면","구마모토현","2018-09-13","271","불검출","불검출","적합"
