"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 148건","","","","362,735","","",""
"1","혼합장","나가노현","2018-10-05","11,424","불검출","불검출","적합"
"2","기타가공품","나가노현","2018-10-01","154","불검출","불검출","적합"
"3","캔디류","아이치현","2018-10-03","79","불검출","불검출","적합"
"4","소스","후쿠오카현","2018-10-01","1,010","불검출","불검출","적합"
"5","소스","시즈오카현","2018-10-02","1,055","불검출","불검출","적합"
"6","탄산음료","오사카부","2018-08-28","2,465","불검출","불검출","적합"
"7","혼합제제","효고현","2018-10-12","17","불검출","불검출","적합"
"8","혼합제제","효고현","2018-10-11","240","불검출","불검출","적합"
"9","혼합제제","효고현","2018-10-12","51","불검출","불검출","적합"
"10","혼합제제","효고현","2018-10-05","51","불검출","불검출","적합"
"11","탄산수","오이타현","2018-10-17","2,520","불검출","불검출","적합"
"12","청주","니가타현","2018-05-15","43","불검출","불검출","적합"
"13","소스","나가사키현","2018-09-22","16,979","불검출","불검출","적합"
"14","소스","나가사키현","2018-10-01","1,285","불검출","불검출","적합"
