"순번","품목명","제조·생산지","제조일자
(유통기한)","수입
중량
(kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/kg)","요오드
(기준:300Bq/kg)","판정"
"48","소스","나가사키현","2018-08-03","48","불검출","불검출","적합"
"49","혼합제제","군마현","2018-10-15","61","불검출","불검출","적합"
"50","글루코사민 제품","도쿄도","2018-09-20","129","불검출","불검출","적합"
"51","가공두부","후쿠오카현","2018-10-11","12,060","불검출","불검출","적합"
"52","향미유","오사카부","2018-10-11","20","불검출","불검출","적합"
"53","향미유","오사카부","2018-06-26","20","불검출","불검출","적합"
"54","혼합제제","시즈오카현","2018-10-10","120","불검출","불검출","적합"
"55","기타천연착향료","효고현","2018-10-19","30","불검출","불검출","적합"
"56","기타가공품","아이치현","2018-02-26","19","불검출","불검출","적합"
"57","혼합제제","효고현","2018-10-19","34","불검출","불검출","적합"
"58","음료베이스","기후현","2018-09-26","26","불검출","불검출","적합"
"59","유탕면","후쿠오카현","2018-09-16","175","불검출","불검출","적합"
"60","음료베이스","기후현","2018-09-03","40","불검출","불검출","적합"
"61","음료베이스","기후현","2018-09-21","29","불검출","불검출","적합"
"62","숙면","구마모토현","2018-10-06","929","불검출","불검출","적합"
"63","숙면","구마모토현","2018-10-06","896","불검출","불검출","적합"
"64","혼합제제","오카야마현","2018-10-18","45","불검출","불검출","적합"
"65","혼합제제","효고현","2018-10-19","17","불검출","불검출","적합"
"66","빵류","사이타마현","2018-09-13","22,464","불검출","불검출","적합"
"67","탄산음료","사가현","2018-09-01","10,123","불검출","불검출","적합"
"68","복합조미식품","훗카이도","2018-10-02","14","불검출","불검출","적합"
"69","복합조미식품","훗카이도","2018-08-27","14","불검출","불검출","적합"
"70","캔디류","아이치현","2018-10-12","205","불검출","불검출","적합"
"71","캔디류","아이치현","2018-10-15","205","불검출","불검출","적합"
"72","캔디류","아이치현","2018-10-15","1,920","불검출","불검출","적합"
"73","과자","아이치현","2018-10-11","245","불검출","불검출","적합"
"74","과자","아이치현","2018-10-12","710","불검출","불검출","적합"
"75","캔디류","미에현","2018-10-12","253","불검출","불검출","적합"
"76","캔디류","미에현","2018-10-03","296","불검출","불검출","적합"
"77","과자","아이치현","2018-10-02","1,163","불검출","불검출","적합"
"78","청주","지바현","2018-10-04","415","불검출","불검출","적합"
"79","초콜릿가공품","이바라키현","2018-09-15","5,750","불검출","불검출","적합"
"80","초콜릿가공품","이바라키현","2018-10-15","8,880","불검출","불검출","적합"
