"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 99건","","","","897,422","","",""
"1","가공소금","사이타마현","2018-05-08","77","불검출","불검출","적합"
"2","양조간장","지바현","2018-05-23","1,580","불검출","불검출","적합"
"3","혼합제제","도쿄도","2018-04-16","120","불검출","불검출","적합"
"4","혼합제제","도쿄도","2018-04-25","50","불검출","불검출","적합"
"5","혼합제제","도쿄도","2018-04-16","40","불검출","불검출","적합"
"6","혼합제제","도쿄도","2018-04-16","120","불검출","불검출","적합"
"7","혼합제제","도쿄도","2018-04-02","180","불검출","불검출","적합"
"8","기타가공품","훗카이도","2018-04-04","300","불검출","불검출","적합"
"9","과·채가공품","오카야마현","2018-05-11","9,600","불검출","불검출","적합"
"10","탄산음료","히로시마현","2018-06-08","7,560","불검출","불검출","적합"
"11","전분","가고시마현","2017-11-16","37,000","불검출","불검출","적합"
"12","혼합제제","지바현","2018-06-26","96","불검출","불검출","적합"
"13","혼합제제","지바현","2018-06-26","204","불검출","불검출","적합"
"14","맥주","오이타현","2018-06-11","10,000","불검출","불검출","적합"
"15","맥주","오이타현","2018-06-11","49,040","불검출","불검출","적합"
