"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 116건","","","","595,847","","",""
"1","소스","도쿄도","2018-06-22","144","불검출","불검출","적합"
"2","즉석조리식품","가나가와현","2018-05-28","4,104","불검출","불검출","적합"
"3","즉석조리식품","가나가와현","2018-05-21","14,055","불검출","불검출","적합"
"4","소스","도치기현","2018-05-11","300","불검출","불검출","적합"
"5","소스","도치기현","2018-05-10","150","불검출","불검출","적합"
"6","소스","지바현","2018-05-18","1,452","불검출","불검출","적합"
"7","즉석조리식품","가나가와현","2018-05-24","9,269","불검출","불검출","적합"
"8","복합조미식품","가나가와현","2018-04-29","1,200","불검출","불검출","적합"
"9","소스","도쿄도","2018-06-13","216","불검출","불검출","적합"
"10","발효식초","도쿄도","2018-05-21","144","불검출","불검출","적합"
"11","건면","도야마현","2018-06-19","250","불검출","불검출","적합"
"12","발효식초","도쿄도","2018-04-16","144","불검출","불검출","적합"
"13","발효식초","도쿄도","2018-06-07","432","불검출","불검출","적합"
"14","볶은커피","시즈오카현","2018-05-23","300","불검출","불검출","적합"
"15","과·채가공품","가고시마현","2018-06-01","5","불검출","불검출","적합"
