"순번","품목명","제조·생산지","제조일자
(유통기한)","수입
중량
(kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/kg)","요오드
(기준:300Bq/kg)","판정"
"51","글리세린지방산
에스테르","효고현","2018-05-18","225","불검출","불검출","적합"
"52","글리세린지방산
에스테르","효고현","2018-05-16","75","불검출","불검출","적합"
"53","청주","교토부","2018-07-03","864","불검출","불검출","적합"
"54","마요네즈","효고현","2018-06-12","6,264","불검출","불검출","적합"
"55","향신료조제품","기후현","2018-04-24","18","불검출","불검출","적합"
"56","건면","나가노현","2018-05-26","450","불검출","불검출","적합"
"57","유탕면","나라현","2018-06-11","360","불검출","불검출","적합"
"58","탄산음료","사가현","2018-06-21","9,360","불검출","불검출","적합"
"59","빵류","기후현","2018-07-06","2,016","불검출","불검출","적합"
"60","혼합제제","나가노현","2018-07-12","200","불검출","불검출","적합"
"61","향신료조제품","나가노현","2018-06-07","129","불검출","불검출","적합"
"62","카레(커리)","니가타현","2018-03-30","1,056","불검출","불검출","적합"
"63","카레(커리)","니가타현","2018-04-27","1,056","불검출","불검출","적합"
"64","소스","오사카부","2018-06-22","900","불검출","불검출","적합"
"65","조미건어포","오사카부","2018-07-17","45","불검출","불검출","적합"
"66","절임식품","돗토리현","2018-07-13","1,600","불검출","불검출","적합"
"67","향신료조제품","나라현","2018-06-14","258","불검출","불검출","적합"
"68","캔디류","미에현","2018-06-04","2,239","불검출","불검출","적합"
"69","캔디류","미에현","2018-06-07","253","불검출","불검출","적합"
"70","카레(커리)","효고현","2018-07-06","4,360","불검출","불검출","적합"
"71","혼합제제","오사카부","2018-07-04","160","불검출","불검출","적합"
"72","혼합제제","시즈오카현","2018-06-29","100","불검출","불검출","적합"
"73","혼합음료","오키나와현","2018-06-10","2,500","불검출","불검출","적합"
"74","청주","야마구치현","2018-05-24","86","불검출","불검출","적합"
"75","청주","나가사키현","2018-06-20","173","불검출","불검출","적합"
"76","혼합제제","오사카부","2018-07-09","500","불검출","불검출","적합"
"77","합성향료","시가현","2018-07-10","50","불검출","불검출","적합"
"78","합성향료","시가현","2018-07-11","25","불검출","불검출","적합"
"79","합성향료","시가현","2018-07-11","25","불검출","불검출","적합"
"80","합성향료","시가현","2018-07-10","20","불검출","불검출","적합"
"81","합성향료","오사카부","2018-07-04","50","불검출","불검출","적합"
"82","혼합제제","오사카부","2018-07-05","50","불검출","불검출","적합"
"83","조미건어포","아오모리현","2018-06-18","21","불검출","불검출","적합"
