"순번","품목","원산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"1","냉동명태(F)","러시아","2018-09-11","13,416","적합","적합","적합"
"2","냉동명태(F)","미국","2018-09-11","10,000","적합","적합","적합"
"3","냉동명태(F)","러시아","2018-09-11","24,010","적합","적합","적합"
"4","냉동가자미(각시가자미)","러시아","2018-09-11","22,050","적합","적합","적합"
"5","냉동꽁치","대만","2018-09-11","45,170","적합","적합","적합"
"6","냉동대구(F)","러시아","2018-09-11","4,200","적합","적합","적합"
"7","냉동명태(F)","러시아","2018-09-11","10,820","적합","적합","적합"
"8","냉동고등어(F)","중국","2018-09-11","7,000","적합","적합","적합"
"9","냉동명태(F)","러시아","2018-09-11","20,384","적합","적합","적합"
"10","냉동꽁치","대만","2018-09-11","64,660","적합","적합","적합"
"11","냉동명태(F)","러시아","2018-09-11","24,000","적합","적합","적합"
"12","냉동가자미","러시아","2018-09-11","1,096","적합","적합","적합"
