"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 165건","","","","423,658","","",""
"1","어묵","시마네현","2018-01-23","500","불검출","불검출","적합"
"2","어묵","시마네현","2018-01-25","320","불검출","불검출","적합"
"3","어묵","시마네현","2018-01-25","304","불검출","불검출","적합"
"4","어묵","시마네현","2018-01-15","960","불검출","불검출","적합"
"5","숙면","구마모토현","2017-12-28","599","불검출","불검출","적합"
"6","캔디류","아이치현","2018-01-25","1,080","불검출","불검출","적합"
"7","캔디류","아이치현","2018-01-26","2,112","불검출","불검출","적합"
"8","캔디류","아이치현","2018-01-25","2,520","불검출","불검출","적합"
"9","소스","후쿠오카현","2017-12-15","682","불검출","불검출","적합"
"10","혼합제제","효고현","2018-01-22","15","불검출","불검출","적합"
"11","혼합제제","효고현","2018-01-22","45","불검출","불검출","적합"
"12","혼합제제","효고현","2018-01-19","30","불검출","불검출","적합"
"13","혼합제제","효고현","2018-01-22","15","불검출","불검출","적합"
