"순번","품
목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(
기준
:100Bq/Kg)","요오드
(
기준
:300Bq/Kg)","판정"
"합계","건57","-","-","215,915","-","-","-"
"1","활장어 붕장어
(
)","나가사키현","2015-12-29","1,015","불검출","불검출","적합"
"2","활방어","에히메현","2015-12-29","4,840","불검출","불검출","적합"
"3","활돔 참돔(
)","에히메현","2015-12-29","7,744","불검출","불검출","적합"
"4","활돔 참돔(
)","나가사키현","2015-12-29","3,988","불검출","불검출","적합"
"5","활방어","나가사키현","2015-12-29","2,967","불검출","불검출","적합"
"6","냉동다랑어 눈다(
랑어 목살,
)","태평양","2015-12-29","811","불검출","불검출","적합"
"7","냉동다랑어 눈다(
랑어 횟감
,F,
)","태평양","2015-12-29","865","불검출","불검출","적합"
"8","냉동다랑어 눈다(
랑어 횟감
,F,
)","태평양","2015-12-29","168","불검출","불검출","적합"
"9","냉동다랑어 눈다(
랑어 횟감
,F,
)","대서양","2015-12-29","388","불검출","불검출","적합"
"10","냉동다랑어 눈다(
랑어 목살 횟감
,
,
)","태평양","2015-12-29","350","불검출","불검출","적합"
"11","냉동다랑어 눈다(
랑어 목살 횟감
,
,
)","대서양","2015-12-29","360","불검출","불검출","적합"
"12","활방어","에히메현","2015-12-29","1,584","불검출","불검출","적합"
"13","활장어 먹장어
(
)","야마구치현","2015-12-29","408","불검출","불검출","적합"
"14","활우렁쉥이","홋카이도","2015-12-29","8,780","불검출","불검출","적합"
"15","냉장갈치","와카야마현","2015-12-29","3,408","불검출","불검출","적합"
