"순번","품      목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","","-","-","53,216","-","-","-"
"1","냉장갈치","오이타현","2016-10-17","310","불검출","불검출","적합"
"2","냉장명태","홋카이도","2016-10-17","2,376","불검출","불검출","적합"
"3","냉장갈치","와카야마현","2016-10-17","408","불검출","불검출","적합"
"4","냉장명태","홋카이도","2016-10-17","2,000","불검출","불검출","적합"
"5","냉장명태","홋카이도","2016-10-17","1,800","불검출","불검출","적합"
"6","냉장명태","홋카이도","2016-10-17","3,150","불검출","불검출","적합"
"7","냉장명태","홋카이도","2016-10-17","1,506","불검출","불검출","적합"
"8","냉장명태","홋카이도","2016-10-17","3,150","불검출","불검출","적합"
"9","냉장명태","홋카이도","2016-10-17","1,496","불검출","불검출","적합"
"10","냉장홍어","홋카이도","2016-10-17","444","불검출","불검출","적합"
"11","냉장명태","홋카이도","2016-10-17","2,300","불검출","불검출","적합"
"12","냉장갈치","와카야마현","2016-10-17","1,912","불검출","불검출","적합"
"13","냉장홍어","홋카이도","2016-10-17","2,191","불검출","불검출","적합"
"14","냉장갈치","와카야마현","2016-10-17","1,200","불검출","불검출","적합"
"15","냉장갈치","오이타현","2016-10-17","200","불검출","불검출","적합"
