"순번","품목","원산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","","-","-","1,159,953.1","-","-","-"
"1","냉동다랑어
(눈다랑어,F,횟감)","대만","2016-10-18","992.5","불검출","불검출","적합"
"2","냉동꽁치","대만","2016-10-18","8,491.6","불검출","불검출","적합"
"3","냉동꽁치","대만","2016-10-18","58,880","불검출","불검출","적합"
"4","냉동다랑어
(눈다랑어,F,횟감)","중국","2016-10-18","3,820","불검출","불검출","적합"
"5","냉동명태","러시아","2016-10-18","690,322","불검출","불검출","적합"
"6","냉동대구","러시아","2016-10-18","1,118","불검출","불검출","적합"
"7","냉동가자미","러시아","2016-10-18","28,015","불검출","불검출","적합"
"8","냉동상어
(청상아리)","대만","2016-10-18","2,021","불검출","불검출","적합"
"9","냉동갈치(F)","한국","2016-10-18","4,030","불검출","불검출","적합"
"10","냉동다랑어
(가다랑어)","대만","2016-10-18","4,722","불검출","불검출","적합"
"11","냉동꽁치","대만","2016-10-18","136,639","불검출","불검출","적합"
"12","냉동꽁치","대만","2016-10-18","96,073","불검출","불검출","적합"
"13","냉동꽁치","대만","2016-10-18","77,566","불검출","불검출","적합"
"14","냉동명태(F)","러시아","2016-10-18","9,500","불검출","불검출","적합"
"15","냉동대구(F)","러시아","2016-10-18","500","불검출","불검출","적합"
"16","냉동상어
(청상아리)","대만","2016-10-18","14,876","불검출","불검출","적합"
"17","냉동가자미
(각시가자미)","러시아","2016-10-18","22,000","불검출","불검출","적합"
"18","냉동대구","러시아","2016-10-18","387","불검출","불검출","적합"
