"순번","품      목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"16","냉장갈치","와카야마현","2016-10-18","424","불검출","불검출","적합"
"17","냉장홍어","홋카이도","2016-10-18","1,611","불검출","불검출","적합"
"18","냉장명태","홋카이도","2016-10-18","3,900","불검출","불검출","적합"
"19","냉장명태","홋카이도","2016-10-18","1,620","불검출","불검출","적합"
"20","냉장갈치","와카야마현","2016-10-18","1,472","불검출","불검출","적합"
"21","냉장준치","나가사키현","2016-10-18","864","불검출","불검출","적합"
"22","냉장돔(황돔)","나가사키현","2016-10-18","60","불검출","불검출","적합"
"23","냉장갈치","오이타현","2016-10-18","910","불검출","불검출","적합"
"24","냉장홍어","홋카이도","2016-10-18","7,947","불검출","불검출","적합"
"25","냉장갈치","와카야마현","2016-10-18","1,336","불검출","불검출","적합"
"26","냉장명태","홋카이도","2016-10-18","2,012","불검출","불검출","적합"
"27","냉장갈치","오이타현","2016-10-18","1,355","불검출","불검출","적합"
"28","냉장갈치","미야자키현","2016-10-18","896","불검출","불검출","적합"
"29","냉장갈치","와카야마현","2016-10-18","1,515","불검출","불검출","적합"
"30","활우렁쉥이","홋카이도","2016-10-18","8,455","불검출","불검출","적합"
"31","냉장갈치","후쿠오카현","2016-10-18","964","불검출","불검출","적합"
"32","냉장명태","홋카이도","2016-10-18","1,380","불검출","불검출","적합"
"33","냉장홍어","홋카이도","2016-10-18","1,078","불검출","불검출","적합"
"34","냉장갈치","와카야마현","2016-10-18","1,696","불검출","불검출","적합"
"35","냉장명태","홋카이도","2016-10-18","5,367","불검출","불검출","적합"
"36","활돔(벵에돔)","나가사키현","2016-10-18","105","불검출","불검출","적합"
