"순번","품목","원산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","","-","-","783,069","-","-","-"
"1","냉동명태(F)","러시아","2016-05-11","23,250","불검출","불검출","적합"
"2","냉동다랑어
(눈다랑어,F,횟감)","대만","2016-05-11","3,158","불검출","불검출","적합"
"3","냉동고등어","중국","2016-05-11","71,820","불검출","불검출","적합"
"4","냉동명태(F)","러시아","2016-05-11","23,500","불검출","불검출","적합"
"5","냉동명태(F)","러시아","2016-05-11","23,000","불검출","불검출","적합"
"6","냉동곤이(명태)","러시아","2016-05-11","27,360","불검출","불검출","적합"
"7","냉동어란(명란)","러시아","2016-05-11","4,343","불검출","불검출","적합"
"8","냉동고등어","대만","2016-05-11","23,750","불검출","불검출","적합"
"9","냉동상어
(청상아리)","대만","2016-05-11","4,044","불검출","불검출","적합"
"10","냉동명태(F)","러시아","2016-05-11","23,900","불검출","불검출","적합"
"11","냉동고등어","중국","2016-05-11","48,000","불검출","불검출","적합"
"12","냉동가자미
(각시가자미)","러시아","2016-05-11","22,650","불검출","불검출","적합"
"13","냉동꽁치","대만","2016-05-11","11,646","불검출","불검출","적합"
"14","냉동꽁치","대만","2016-05-11","15,309","불검출","불검출","적합"
"15","냉동명태","러시아","2016-05-11","389,130","불검출","불검출","적합"
"16","냉동꽁치","대만","2016-05-11","23,094","불검출","불검출","적합"
"17","냉동꽁치","대만","2016-05-11","5,184","불검출","불검출","적합"
