"순번","품      목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","","-","-","136,721","-","-","-"
"1","활돔(참돔)","에히메현","2016-05-11","3,824","불검출","불검출","적합"
"2","활가리비","홋카이도","2016-05-11","7,000","불검출","불검출","적합"
"3","활가리비","홋카이도","2016-05-11","7,000","불검출","불검출","적합"
"4","냉동새치
(황새치,F,횟감)","태평양","2016-05-11","480","불검출","불검출","적합"
"5","냉동다랑어
(눈다랑어)","인도양","2016-05-11","46,073","불검출","불검출","적합"
"6","냉동새치
(황새치,F,횟감)","태평양","2016-05-11","1,350","불검출","불검출","적합"
"7","활게(참게)","야마구치현","2016-05-11","800","불검출","불검출","적합"
"8","활장어(먹장어)","나가사키현","2016-05-11","3,000","불검출","불검출","적합"
"9","냉장갈치","와카야마현","2016-05-11","1,560","불검출","불검출","적합"
"10","냉장홍어","야마구치현","2016-05-11","460","불검출","불검출","적합"
"11","냉장갈치","야마구치현","2016-05-11","1,820","불검출","불검출","적합"
"12","냉장명태","홋카이도","2016-05-11","3,900","불검출","불검출","적합"
"13","냉장명태","홋카이도","2016-05-11","3,900","불검출","불검출","적합"
"14","냉장갈치","와카야마현","2016-05-11","2,690","불검출","불검출","적합"
"15","냉장명태","홋카이도","2016-05-11","6,440","불검출","불검출","적합"
"16","냉장홍어","홋카이도","2016-05-11","7,472","불검출","불검출","적합"
"17","냉장갈치","와카야마현","2016-05-11","1,016","불검출","불검출","적합"
