"순번","품      목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","","-","-","200,039","-","-","-"
"1","활돔(참돔)","나가사키현","2016-05-10","7,187","불검출","불검출","적합"
"2","활돔(참돔)","나가사키현","2016-05-10","12,276","불검출","불검출","적합"
"3","활장어(먹장어)","나가사키현","2016-05-10","957","불검출","불검출","적합"
"4","활돔(참돔)","에히메현","2016-05-10","4,962","불검출","불검출","적합"
"5","활돔(참돔)","에히메현","2016-05-10","6,971","불검출","불검출","적합"
"6","활돔(참돔)","에히메현","2016-05-10","13,816","불검출","불검출","적합"
"7","활돔(참돔)","에히메현","2016-05-10","9,439","불검출","불검출","적합"
"8","활돔(참돔)","에히메현","2016-05-10","19,130","불검출","불검출","적합"
"9","활가리비","홋카이도","2016-05-10","7,000","불검출","불검출","적합"
"10","활가리비","홋카이도","2016-05-10","14,140","불검출","불검출","적합"
"11","활게(대게)","홋카이도","2016-05-10","4,000","불검출","불검출","적합"
"12","냉동돔(참돔)","야마구치현","2016-05-10","1,530","불검출","불검출","적합"
"13","냉동다랑어
(눈다랑어,목살,횟감)","인도양","2016-05-10","160","불검출","불검출","적합"
"14","냉동멸치","","2016-05-10","23,250","불검출","불검출","적합"
"15","냉동가리비
(외투막)","홋카이도","2016-05-10","21,000","불검출","불검출","적합"
"16","냉동다랑어
(남방참다랑어)","인도양","2016-05-10","10,950","불검출","불검출","적합"
"17","냉동다랑어(눈다
랑어,F,횟감)","태평양","2016-05-10","1,465","불검출","불검출","적합"
