"순번","품
목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(
기준
:100Bq/Kg)","요오드
(
기준
:300Bq/Kg)","판정"
"합계","","-","-","121,356","-","-","-"
"1","염장옥덩굴","오키나와현","2016-04-25","25","불검출","불검출","적합"
"2","활돔 참돔(
)","에히메현","2016-04-25","4,952","불검출","불검출","적합"
"3","활돔 참돔(
)","에히메현","2016-04-25","12,107","불검출","불검출","적합"
"4","냉장명태","홋카이도","2016-04-25","3,160","불검출","불검출","적합"
"5","냉장갈치","와카야마현","2016-04-25","2,221","불검출","불검출","적합"
"6","냉장돔 감성돔
(
)","와카야마현","2016-04-25","184","불검출","불검출","적합"
"7","냉장준치","구마모토현","2016-04-25","592","불검출","불검출","적합"
"8","냉장돔 황돔(
)","야마구치현","2016-04-25","90","불검출","불검출","적합"
"9","냉장가오리","야마구치현","2016-04-25","40","불검출","불검출","적합"
"10","냉장홍어","야마구치현","2016-04-25","280","불검출","불검출","적합"
"11","냉장명태","홋카이도","2016-04-25","2,184","불검출","불검출","적합"
"12","냉장명태","홋카이도","2016-04-25","1,512","불검출","불검출","적합"
"13","냉장갈치","효고현","2016-04-25","1,200","불검출","불검출","적합"
"14","냉장갈치","도쿠시마현","2016-04-25","480","불검출","불검출","적합"
"15","냉장갈치","와카야마현","2016-04-25","1,544","불검출","불검출","적합"
"16","냉장갈치","와카야마현","2016-04-25","760","불검출","불검출","적합"
