"순번","품
목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(
기준
:100Bq/Kg)","요오드
(
기준
:300Bq/Kg)","판정"
"합계","","-","-","104,410","-","-","-"
"1","활돔 참돔(
)","에히메현","2016-04-26","4,836","불검출","불검출","적합"
"2","활돔 돌돔(
)","에히메현","2016-04-26","2,226","불검출","불검출","적합"
"3","활돔 참돔(
)","에히메현","2016-04-26","9,630","불검출","불검출","적합"
"4","활돔 참돔(
)","에히메현","2016-04-26","18,336","불검출","불검출","적합"
"5","활가리비","홋카이도","2016-04-26","6,780","불검출","불검출","적합"
"6","활가리비","홋카이도","2016-04-26","6,780","불검출","불검출","적합"
"7","활가리비","홋카이도","2016-04-26","6,960","불검출","불검출","적합"
"8","냉장명태","홋카이도","2016-04-26","3,206","불검출","불검출","적합"
"9","냉장갈치","에히메현","2016-04-26","280","불검출","불검출","적합"
"10","냉장돔 황돔(
)","야마구치현","2016-04-26","145","불검출","불검출","적합"
"11","냉장명태","홋카이도","2016-04-26","1,440","불검출","불검출","적합"
"12","냉장홍어","홋카이도","2016-04-26","2,956","불검출","불검출","적합"
"13","냉장갈치","야마구치현","2016-04-26","1,240","불검출","불검출","적합"
"14","냉장홍어","야마구치현","2016-04-26","340","불검출","불검출","적합"
"15","냉장갈치","후쿠오카현","2016-04-26","1,160","불검출","불검출","적합"
"16","냉장갑오징어","야마구치현","2016-04-26","3,594","불검출","불검출","적합"
