"순번","품
목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(
기준
:100Bq/Kg)","요오드
(
기준
:300Bq/Kg)","판정"
"17","냉장갈치","와카야마현","2016-04-25","960","불검출","불검출","적합"
"18","냉장갈치","야마구치현","2016-04-25","275","불검출","불검출","적합"
"19","활가리비","홋카이도","2016-04-25","6,982","불검출","불검출","적합"
"20","냉장갈치","후쿠오카현","2016-04-25","1,392","불검출","불검출","적합"
"21","냉장준치","야마구치현","2016-04-25","408","불검출","불검출","적합"
"22","냉장병어","야마구치현","2016-04-25","200","불검출","불검출","적합"
"23","냉장갈치","와카야마현","2016-04-25","384","불검출","불검출","적합"
"24","냉장명태","홋카이도","2016-04-25","1,490","불검출","불검출","적합"
"25","냉장갈치","에히메현","2016-04-25","312","불검출","불검출","적합"
"26","냉장갈치","히로시마현","2016-04-25","245","불검출","불검출","적합"
"27","냉장갈치","와카야마현","2016-04-25","1,312","불검출","불검출","적합"
"28","냉장돔 황돔(
)","후쿠오카현","2016-04-25","185","불검출","불검출","적합"
"29","냉동멸치","가고시마현","2016-04-25","74,250","불검출","불검출","적합"
"30","냉동다랑어
(
눈다랑어목살횟감
,
,
)","대서양","2016-04-25","1,630","불검출","불검출","적합"
