"순번","품
목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(
기준
:100Bq/Kg)","요오드
(
기준
:300Bq/Kg)","판정"
"합계","","-","-","159,215","-","-","-"
"1","활돔 참돔(
)","에히메현","2016-04-27","4,858","불검출","불검출","적합"
"2","활돔 참돔(
)","고치현","2016-04-27","14,668","불검출","불검출","적합"
"3","활돔 참돔(
)","에히메현","2016-04-27","5,770","불검출","불검출","적합"
"4","활돔 참돔(
)","에히메현","2016-04-27","2,801","불검출","불검출","적합"
"5","활가리비","홋카이도","2016-04-27","8,000","불검출","불검출","적합"
"6","냉동가자미 기름(
가자미)","홋카이도","2016-04-27","8,250","불검출","불검출","적합"
"7","냉장홍어","홋카이도","2016-04-27","1,926","불검출","불검출","적합"
"8","냉장갈치","와카야마현","2016-04-27","3,632","불검출","불검출","적합"
"9","냉장돔 황돔(
)","야마구치현","2016-04-27","100","불검출","불검출","적합"
"10","냉장명태","홋카이도","2016-04-27","4,452","불검출","불검출","적합"
"11","냉장대구","홋카이도","2016-04-27","3,552","불검출","불검출","적합"
"12","냉장홍어","홋카이도","2016-04-27","4,304","불검출","불검출","적합"
"13","냉장갈치","후쿠오카현","2016-04-27","904","불검출","불검출","적합"
"14","냉장홍어","홋카이도","2016-04-27","2,411","불검출","불검출","적합"
"15","냉장갑오징어","후쿠오카현","2016-04-27","1,192","불검출","불검출","적합"
"16","활장어 먹장어
(
)","야마구치현","2016-04-27","535","불검출","불검출","적합"
