"검사결과
수입
제조일자
순번
품목명
제조·생산지
중량
세슘
요오드
(유통기한)
판정
(kg)
(기준:100Bq/kg)
(기준:300Bq/kg)","","","","","","",""
"60","혼합제제","오사카부","2017-10-06","34","불검출","불검출","적합"
"61","소스류","후쿠오카현","2017-10-27","650","불검출","불검출","적합"
"62","맥주","후쿠오카현","2017-09-26","29,250","불검출","불검출","적합"
"63","혼합제제","오사카부","2017-10-17","25","불검출","불검출","적합"
"64","혼합제제","사이타마현","2017-10-03","306","불검출","불검출","적합"
"65","혼합제제","오이타현","2017-09-02","1,000","불검출","불검출","적합"
"66","혼합제제","사이타마현","2017-10-03","126","불검출","불검출","적합"
"67","맥주","후쿠오카현","2017-10-10","28,663","불검출","불검출","적합"
"68","맥주","후쿠오카현","2017-09-01","17,448","불검출","불검출","적합"
"69","맥주","후쿠오카현","2017-10-03","52,344","불검출","불검출","적합"
"70","소스류","가가와현","2017-10-18","350","불검출","불검출","적합"
"71","맥주","후쿠오카현","2017-09-30","52,344","불검출","불검출","적합"
"72","혼합제제","가나가와현","2017-10-10","120","불검출","불검출","적합"
"73","혼합제제","가나가와현","2017-10-10","120","불검출","불검출","적합"
"74","향미유","아이치현","2017-09-02","384","불검출","불검출","적합"
"75","소스류","아이치현","2017-09-02","300","불검출","불검출","적합"
"76","소스류","아이치현","2017-09-02","328","불검출","불검출","적합"
"77","소스류","아이치현","2017-09-08","370","불검출","불검출","적합"
"78","소스류","아이치현","2017-09-08","1,260","불검출","불검출","적합"
