"검사결과
수입
제조일자
순번
품목명
제조·생산지
중량
세슘
요오드
(유통기한)
판정
(kg)
(기준:100Bq/kg)
(기준:300Bq/kg)","","","","","","",""
"10","카레","니가타현","2017-08-29","3,600","불검출","불검출","적합"
"11","카레","니가타현","2017-09-19","7,200","불검출","불검출","적합"
"12","빵류(파이)","훗카이도","2017-10-02","12,773","불검출","불검출","적합"
"13","맥주","오이타현","2017-09-27","314,640","불검출","불검출","적합"
"14","혼합제제","사이타마현","2017-10-16","400","불검출","불검출","적합"
"15","혼합제제","사이타마현","2017-10-12","2,200","불검출","불검출","적합"
"16","과자(스낵과자)","사이타마현","2017-09-20","653","불검출","불검출","적합"
"17","혼합제제","사이타마현","2017-10-16","234","불검출","불검출","적합"
"18","콩기름(대두유)","이바라키현","2017-10-04","220","불검출","불검출","적합"
"19","국수","구마모토현","2017-10-07","150","불검출","불검출","적합"
"20","혼합제제","사이타마현","2017-10-12","1,400","불검출","불검출","적합"
"21","국수","구마모토현","2017-10-07","2,786","불검출","불검출","적합"
"22","혼합제제","사이타마현","2017-10-16","200","불검출","불검출","적합"
"23","혼합제제","사이타마현","2017-10-17","3,456","불검출","불검출","적합"
"24","조미된장","훗카이도","2017-09-30","600","불검출","불검출","적합"
"25","혼합제제","사이타마현","2017-10-17","1,200","불검출","불검출","적합"
"26","혼합제제","사이타마현","2017-10-16","300","불검출","불검출","적합"
"27","카레","니가타현","2017-08-10","432","불검출","불검출","적합"
"28","혼합제제","사이타마현","2017-10-16","460","불검출","불검출","적합"
"29","혼합제제","사이타마현","2017-10-16","600","불검출","불검출","적합"
"30","유탕면류","나라현","2017-09-05","360","불검출","불검출","적합"
"31","과자(비스킷)","오사카부","2017-08-30","475","불검출","불검출","적합"
"32","된장","훗카이도","2017-10-02","800","불검출","불검출","적합"
"33","소스류","훗카이도","2017-09-03","960","불검출","불검출","적합"
"34","즉석조리식품","훗카이도","2017-10-15","208","불검출","불검출","적합"
