"순번","품목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","30건","-","-","96,398","-","-","-"
"1","활돔(돌돔)","미야자키현","2014-09-16","979","불검출","불검출","적합"
"2","활돔(참돔)","에히메현","2014-09-16","5,906","불검출","불검출","적합"
"3","활돔(참돔)","에히메현","2014-09-16","8,393","불검출","불검출","적합"
"4","활돔(참돔)","에히메현","2014-09-16","7,123","불검출","불검출","적합"
"5","활돔(참돔)","구마모토현","2014-09-16","3,811","불검출","불검출","적합"
"6","활돔(참돔)","구마모토현","2014-09-16","15,832","불검출","불검출","적합"
"7","활돔(참돔)","에히메현","2014-09-16","5,094","불검출","불검출","적합"
"8","활돔(참돔)","에히메현","2014-09-16","7,655","불검출","불검출","적합"
"9","활백합(비너스백합)","홋카이도","2014-09-16","3,909","불검출","불검출","적합"
"10","활장어(먹장어)","나가사키현","2014-09-16","807","불검출","불검출","적합"
"11","냉장명태","홋카이도","2014-09-16","2,940","불검출","불검출","적합"
"12","냉장갈치","와카야마현","2014-09-16","4,376","불검출","불검출","적합"
"13","냉장돔(참돔)","야마구치현","2014-09-16","265","불검출","불검출","적합"
"14","냉장가오리","야마구치현","2014-09-16","240","불검출","불검출","적합"
"15","냉장홍어","홋카이도","2014-09-16","1,325","불검출","불검출","적합"
"16","활장어(붕장어)","나가사키현","2014-09-16","385","불검출","불검출","적합"
"17","냉장갈치","와카야마현","2014-09-16","2,424","불검출","불검출","적합"
"18","냉장갈치","와카야마현","2014-09-16","1,572","불검출","불검출","적합"
"19","활돔(벵에돔)","오이타현","2014-09-16","1,463","불검출","불검출","적합"
"20","냉장갈치","와카야마현","2014-09-16","1,440","불검출","불검출","적합"
"21","냉장홍어","야마구치현","2014-09-16","260","불검출","불검출","적합"
"22","활우렁쉥이","홋카이도","2014-09-16","8,330","불검출","불검출","적합"
"23","활꼬막","사가현","2014-09-16","2,800","불검출","불검출","적합"
"24","냉장갈치","와카야마현","2014-09-16","688","불검출","불검출","적합"
"25","냉장명태","홋카이도","2014-09-16","1,924","불검출","불검출","적합"
"26","냉장명태","홋카이도","2014-09-16","1,937","불검출","불검출","적합"
"27","활가리비","나가사키현","2014-09-16","400","불검출","불검출","적합"
"28","냉장홍어","홋카이도","2014-09-16","219","불검출","불검출","적합"
"29","활장어(먹장어)","야마구치현","2014-09-16","2,522","불검출","불검출","적합"
"30","활장어(먹장어)","야마구치현","2014-09-16","1,379","불검출","불검출","적합"
