"순번","품목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","10건","-","-","26,333","-","-","-"
"1","냉동개아지살(가리비)","홋카이도","2014-09-17","5,448","불검출","불검출","적합"
"2","냉장돔(황돔)","야마구치현","2014-09-17","250","불검출","불검출","적합"
"3","활장어(먹장어)","나가사키현","2014-09-17","818","불검출","불검출","적합"
"4","활우렁쉥이","홋카이도","2014-09-17","200","불검출","불검출","적합"
"5","활우렁쉥이","홋카이도","2014-09-17","8,625","불검출","불검출","적합"
"6","냉장명태","홋카이도","2014-09-17","3,090","불검출","불검출","적합"
"7","냉장홍어","홋카이도","2014-09-17","3,539","불검출","불검출","적합"
"8","활장어(먹장어)","야마구치현","2014-09-17","1,492","불검출","불검출","적합"
"9","활장어(먹장어)","나가사키현","2014-09-17","1,672","불검출","불검출","적합"
"10","냉동다랑어
(눈다랑어,목살)","대서양","2014-09-17","1,199","불검출","불검출","적합"
