"순번","품목","원산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","3건","-","-","1,162,583","-","-","-"
"1","냉동명태","러시아","2014-09-16","1,043,503","불검출","불검출","적합"
"2","냉동꽁치","대만","2014-09-16","45,200","불검출","불검출","적합"
"3","냉동꽁치","대만","2014-09-16","73,880","불검출","불검출","적합"
