"순번","품목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","22건","-","-","25,064","-","-","-"
"1","활전복","나가사키현","2014-09-18","168","불검출","불검출","적합"
"2","활꼬막(새꼬막)","사가현","2014-09-18","200","불검출","불검출","적합"
"3","냉장갈치","오이타현","2014-09-18","790","불검출","불검출","적합"
"4","냉장전어","야마구치현","2014-09-18","1,200","불검출","불검출","적합"
"5","냉장홍어","야마구치현","2014-09-18","170","불검출","불검출","적합"
"6","냉장갈치","오이타현","2014-09-18","588","불검출","불검출","적합"
"7","냉장가오리","야마구치현","2014-09-18","168","불검출","불검출","적합"
"8","냉장홍어","야마구치현","2014-09-18","579","불검출","불검출","적합"
"9","냉장명태","홋카이도","2014-09-18","2,934","불검출","불검출","적합"
"10","냉장명태","홋카이도","2014-09-18","3,250","불검출","불검출","적합"
"11","냉장홍어","홋카이도","2014-09-18","747","불검출","불검출","적합"
"12","냉장명태","홋카이도","2014-09-18","3,250","불검출","불검출","적합"
"13","냉장갈치","에히메현","2014-09-18","605","불검출","불검출","적합"
"14","냉장갈치","오이타현","2014-09-18","650","불검출","불검출","적합"
"15","냉장돔(참돔)","후쿠오카현","2014-09-18","380","불검출","불검출","적합"
"16","냉장홍어","야마구치현","2014-09-18","180","불검출","불검출","적합"
"17","냉장전어","구마모토현","2014-09-18","2,192","불검출","불검출","적합"
"18","냉동다랑어
(눈다랑어,F,횟감)","대서양","2014-09-18","1,192","불검출","불검출","적합"
"19","활장어(먹장어)","후쿠오카현","2014-09-18","3,088","불검출","불검출","적합"
"20","활장어(먹장어)","후쿠오카현","2014-09-18","1,291","불검출","불검출","적합"
"21","활꼬막","사가현","2014-09-18","1,000","불검출","불검출","적합"
"22","활게(참게)","오이타현","2014-09-18","442","불검출","불검출","적합"
