"","","제조·생산지","제조일자","중량(kg)","검사결과","",""
"순 번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","84건","","122,225","","",""
"1","혼합제제","와카야마현","2014-06-09","15","불검출","불검출","적합"
"2","소스류","나가사키현","2014-05-22","2,460","불검출","불검출","적합"
"3","소스류","나가사키현","2014-05-27","1,279.08","불검출","불검출","적합"
"4","소스류","나가사키현","2014-05-19","2,573.48","불검출","불검출","적합"
"5","소스류","나가사키현","2014-05-19","1,345.76","불검출","불검출","적합"
"6","소스류","나가사키현","2014-05-20","6,270","불검출","불검출","적합"
"7","소스류","나가사키현","2014-05-30","793","불검출","불검출","적합"
"8","식물성크림","구마모토현","2014-05-14","19.2","불검출","불검출","적합"
"9","식물성크림","구마모토현","2014-05-07","24","불검출","불검출","적합"
"10","드레싱","사가현","2014-05-03","7,200","불검출","불검출","적합"
"11","드레싱","오사카부","2014-06-03","270","불검출","불검출","적합"
"12","소스류","사가현","2014-02-13","360","불검출","불검출","적합"
"13","마요네즈","효고현","2014-06-05","300","불검출","불검출","적합"
"14","카레","나라현","2014-02-25","400","불검출","불검출","적합"
"15","드레싱","도쿄도","2014-05-28","90","불검출","불검출","적합"
"16","드레싱","도쿄도","2014-05-22","90","불검출","불검출","적합"
"17","기타장류","효고현","2014-05-28","432","불검출","불검출","적합"
"18","소스류","아이치현","2014-04-07","324","불검출","불검출","적합"
