"","","제조·생산지","제조일자","중량(kg)","검사결과","",""
"순 번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","129건","","228,793","","",""
"1","청주","시마네현","2014-05-01","172.8","불검출","불검출","적합"
"2","청주","시마네현","2014-05-01","86.4","불검출","불검출","적합"
"3","수산물가공품","효고현","2014-05-23","324","불검출","불검출","적합"
"4","맥주","사이타마현","2014-04-23","1,375.7","불검출","불검출","적합"
"5","맥주","사이타마현","2014-04-18","2,143","불검출","불검출","적합"
"6","맥주","사이타마현","2014-04-21","816","불검출","불검출","적합"
"7","맥주","사이타마현","2014-04-16","1,071.5","불검출","불검출","적합"
"8","맥주","사이타마현","2014-04-25","1,072","불검출","불검출","적합"
"9","이노시톨","와카야마현","2014-05-22","500","불검출","불검출","적합"
"10","혼합제제","이바라키현","2014-05-16","600","불검출","불검출","적합"
"11","혼합제제","사이타마현","2014-05-23","125","불검출","불검출","적합"
"12","혼합제제","가나가와현","2014-05-27","540","불검출","불검출","적합"
"13","혼합제제","사이타마현","2014-05-30","350","불검출","불검출","적합"
"14","혼합제제","사이타마현","2014-06-03","100","불검출","불검출","적합"
"15","탄산칼슘","오카야마현","2014-06-06","16,500","불검출","불검출","적합"
"16","맥주","오이타현","2014-05-27","32,844","불검출","불검출","적합"
"17","혼합제제","오카야마현","2014-06-11","45","불검출","불검출","적합"
"18","트랜스글루코시다아제","시가현","2014-05-21","501","불검출","불검출","적합"
