"순번","품목","원산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(
기준
:100Bq/Kg)","요오드
(
기준
:300Bq/Kg)","판정"
"합계","건14","-","-","2,077,507","-","-","-"
"1","냉동꽁치","대만","2015-12-14","320,339","불검출","불검출","적합"
"2","냉동대구 목살(
)","러시아","2015-12-14","10,404","불검출","불검출","적합"
"3","냉동꽁치","대만","2015-12-14","127,498","불검출","불검출","적합"
"4","냉동꽁치","대만","2015-12-14","106,323","불검출","불검출","적합"
"5","냉동꽁치","대만","2015-12-14","127,311","불검출","불검출","적합"
"6","냉동꽁치","대만","2015-12-14","60,642","불검출","불검출","적합"
"7","냉동꽁치","대만","2015-12-14","165,391","불검출","불검출","적합"
"8","냉동꽁치","대만","2015-12-14","92,284","불검출","불검출","적합"
"9","냉동꽁치","대만","2015-12-14","70,005","불검출","불검출","적합"
"10","냉동꽁치","대만","2015-12-14","522,781","불검출","불검출","적합"
"11","냉동가자미 각시(
가자미)","러시아","2015-12-14","23,000","불검출","불검출","적합"
"12","냉동대구(F)","러시아","2015-12-14","8,730","불검출","불검출","적합"
"13","냉동꽁치","대만","2015-12-14","421,549","불검출","불검출","적합"
"14","냉동명태(F)","러시아","2015-12-14","21,250","불검출","불검출","적합"
