"순번","품      목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","","-","-","39,277","-","-","-"
"1","냉동다랑어
(눈다랑어,목살)","태평양","2016-10-24","2,110","불검출","불검출","적합"
"2","냉동다랑어
(눈다랑어,F,횟감)","태평양","2016-10-24","1,834","불검출","불검출","적합"
"3","냉동새치
(돛새치)","태평양","2016-10-24","11,528","불검출","불검출","적합"
"4","냉장홍어","야마구치현","2016-10-24","410","불검출","불검출","적합"
"5","냉장준치","구마모토현","2016-10-24","161","불검출","불검출","적합"
"6","냉장민어
(수조기)","야마구치현","2016-10-24","70","불검출","불검출","적합"
"7","냉장명태","홋카이도","2016-10-24","1,700","불검출","불검출","적합"
"8","냉장명태","홋카이도","2016-10-24","1,704","불검출","불검출","적합"
"9","냉장돔(황돔)","야마구치현","2016-10-24","265","불검출","불검출","적합"
"10","냉장돔(황돔)","야마구치현","2016-10-24","300","불검출","불검출","적합"
"11","냉장돔(황돔)","후쿠오카현","2016-10-24","160","불검출","불검출","적합"
"12","냉장돔(참돔)","야마구치현","2016-10-24","100","불검출","불검출","적합"
"13","냉장갈치","오이타현","2016-10-24","2,995","불검출","불검출","적합"
"14","냉장갈치","미야자키현","2016-10-24","490","불검출","불검출","적합"
"15","냉장갈치","와카야마현","2016-10-24","832","불검출","불검출","적합"
"16","냉장갈치","와카야마현","2016-10-24","1,216","불검출","불검출","적합"
