"순 번","품목명","제조·생산지","제조일자","중량(kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/kg)","요오드
(기준:300Bq/kg)","판정"
"17","소스류","아이치현","2014-02-17","192","불검출","불검출","적합"
"18","기타가공품","기후현","2014-03-17","369","불검출","불검출","적합"
"19","청국장","도치기현","2014-02-20","2,436.5","불검출","불검출","적합"
"20","혼합장","야마나시현","2014-02-20","7,000","불검출","불검출","적합"
"21","냉면","구마모토현","2014-03-03","237.6","불검출","불검출","적합"
"22","밀크초콜릿","가나가와현","2014-02-18","2,160","불검출","불검출","적합"
"23","준초콜릿","가나가와현","2014-01-13","360","불검출","불검출","적합"
"24","화이트초콜릿","가나가와현","2014-02-21","2,016","불검출","불검출","적합"
"25","냉면","훗카이도","2013-12-06","600","불검출","불검출","적합"
"26","데카날","야마가타현","2014-03-11","105","불검출","불검출","적합"
"27","청주","도치기현","2014-03-05","15,876","불검출","불검출","적합"
"28","냉면","나가노현","2014-02-04","320","불검출","불검출","적합"
"29","냉면","나가노현","2014-01-22","500","불검출","불검출","적합"
"30","캔디류(사탕)","가나가와현","2014-01-01","428.73","불검출","불검출","적합"
"31","밀크초콜릿","가나가와현","2013-12-01","207.36","불검출","불검출","적합"
"32","땅콩또는견과류가공품","오사카부","2013-08-25","100","불검출","불검출","적합"
"33","합성착향료","야마가타현","2014-03-11","10","불검출","불검출","적합"
"34","혼합제제","나가노현","2014-02-18","48","불검출","불검출","적합"
"35","맥주","후쿠오카현","2014-02-27","50,400","불검출","불검출","적합"
"36","맥주","아이치현","2014-02-01","10,100","불검출","불검출","적합"
"37","맥주","오사카부","2014-01-28","18,144","불검출","불검출","적합"
"38","청주","효고현","2014-01-20","11,664","불검출","불검출","적합"
"39","맥주","후쿠오카현","2014-02-19","104,760","불검출","불검출","적합"
"40","청주","효고현","2014-03-12","19,440","불검출","불검출","적합"
"41","맥주","후쿠오카현","2014-02-26","84,000","불검출","불검출","적합"
"42","맥주","후쿠오카현","2014-03-01","34,350","불검출","불검출","적합"
"43","캔디류(사탕)","후쿠시마현","2014-02-26","259.2","불검출","불검출","적합"
"44","과자(한과류)","나가노현","2014-02-27","230","불검출","불검출","적합"
"45","과자(비스킷)","니가타현","2014-03-09","312.9","불검출","불검출","적합"
"46","과자(비스킷)","오사카부","2014-02-08","70","불검출","불검출","적합"
"47","캔디류(사탕)","효고현","2014-03-14","312","불검출","불검출","적합"
"48","캔디류(사탕)","효고현","2014-03-13","312","불검출","불검출","적합"
"49","혼합제제","가나가와현","2014-01-24","5","불검출","불검출","적합"
"50","액상차","시가현","2014-02-07","2,880","불검출","불검출","적합"
"51","과자(크래커)","이바라키현","2014-02-13","792","불검출","불검출","적합"
"52","과자(비스킷)","이바라키현","2014-02-01","127.5","불검출","불검출","적합"
"53","소스류","군마현","2014-02-19","720","불검출","불검출","적합"
"54","소스류","에히메현","2014-03-05","384","불검출","불검출","적합"
"55","소스류","에히메현","2014-02-18","216","불검출","불검출","적합"
"56","기타가공품","훗카이도","2014-03-05","270","불검출","불검출","적합"
"57","기타엿","시즈오카현","2014-03-04","1,000","불검출","불검출","적합"
"58","갈락토올리고당","시즈오카현","2014-03-06","1,500","불검출","불검출","적합"
"59","락타아제","아오모리현","2013-12-23","300","불검출","불검출","적합"
"60","혼합제제","기후현","2014-03-25","0.9","불검출","불검출","적합"
"61","장류절임","가고시마현","2014-01-21","32","불검출","불검출","적합"
"62","스피루리나 제품","교토부","2014-03-10","230.4","불검출","불검출","적합"
"63","식초절임","가고시마현","2014-01-21","120","불검출","불검출","적합"
"64","식초절임(매실절임)","야마나시현","2013-10-20","50","불검출","불검출","적합"
"65","클로렐라 제품","교토부","2014-03-06","624.96","불검출","불검출","적합"
"66","볶은커피","도쿄도","2014-02-21","50","불검출","불검출","적합"
