"순번","품목","원산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","13건","-","-","1,502,479","-","-","-"
"1","냉동꽁치","대만","2015-12-10","272,387","불검출","불검출","적합"
"2","냉동황다랑어(목살)","중국","2015-12-10","6,180","불검출","불검출","적합"
"3","냉동상어(흑기흉상어)","대만","2015-12-10","49,840","불검출","불검출","적합"
"4","냉동대구","러시아","2015-12-10","2,967","불검출","불검출","적합"
"5","냉동가자미(까지가자미)","러시아","2015-12-10","3,397","불검출","불검출","적합"
"6","냉동가자미(각시가자미)","러시아","2015-12-10","23,000","불검출","불검출","적합"
"7","냉동가자미(각시가자미)","러시아","2015-12-10","23,000","불검출","불검출","적합"
"8","냉동꽁치","대만","2015-12-10","380,174","불검출","불검출","적합"
"9","냉동명태(F)","러시아","2015-12-10","24,000","불검출","불검출","적합"
"10","냉동꽁치","대만","2015-12-10","670,591","불검출","불검출","적합"
"11","냉동명태(F)","러시아","2015-12-10","17,250","불검출","불검출","적합"
"12","냉동대구(F)","러시아","2015-12-10","4,200","불검출","불검출","적합"
"13","냉동상어(청상아리)","대만","2015-12-10","25,493","불검출","불검출","적합"
