"순번","품      목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","29건","-","-","89,192","-","-","-"
"1","활방어","에히메현","2015-12-09","1,016","불검출","불검출","적합"
"2","활가리비","홋카이도","2015-12-09","14,683","불검출","불검출","적합"
"3","활대합(북방대합)","홋카이도","2015-12-09","2,125","불검출","불검출","적합"
"4","냉동진환도상어(F)","태평양","2015-12-09","1,353","불검출","불검출","적합"
"5","냉장홍어","홋카이도","2015-12-09","2,722","불검출","불검출","적합"
"6","냉장가오리","야마구치현","2015-12-09","180","불검출","불검출","적합"
"7","냉장홍어","야마구치현","2015-12-09","490","불검출","불검출","적합"
"8","냉장갈치","와카야마현","2015-12-09","1,232","불검출","불검출","적합"
"9","냉장갈치","오이타현","2015-12-09","1,100","불검출","불검출","적합"
"10","냉장갈치","야마구치현","2015-12-09","300","불검출","불검출","적합"
"11","냉장갈치","와카야마현","2015-12-09","472","불검출","불검출","적합"
"12","냉장명태","홋카이도","2015-12-09","3,630","불검출","불검출","적합"
"13","냉장갈치","와카야마현","2015-12-09","1,272","불검출","불검출","적합"
"14","냉장돔(참돔)","후쿠오카현","2015-12-09","110","불검출","불검출","적합"
"15","냉장홍어","홋카이도","2015-12-09","435","불검출","불검출","적합"
"16","냉장명태","홋카이도","2015-12-09","8,000","불검출","불검출","적합"
"17","냉장명태","홋카이도","2015-12-09","5,000","불검출","불검출","적합"
"18","냉장갈치","오이타현","2015-12-09","1,080","불검출","불검출","적합"
"19","활우렁쉥이","홋카이도","2015-12-09","9,968","불검출","불검출","적합"
"20","활우렁쉥이","홋카이도","2015-12-09","8,895","불검출","불검출","적합"
"21","활우렁쉥이","홋카이도","2015-12-09","6,366","불검출","불검출","적합"
"22","활우렁쉥이","홋카이도","2015-12-09","3,757","불검출","불검출","적합"
"23","냉장갈치","오이타현","2015-12-09","1,440","불검출","불검출","적합"
"24","냉장명태","홋카이도","2015-12-09","2,000","불검출","불검출","적합"
"25","냉장갈치","오이타현","2015-12-09","2,390","불검출","불검출","적합"
"26","냉장돔(참돔)","후쿠오카현","2015-12-09","145","불검출","불검출","적합"
