"순번","품목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","27건","-","-","69,666","-","-","-"
"1","활돔(참돔)","에히메현","2014-07-09","7,402","불검출","불검출","적합"
"2","활가리비","홋카이도","2014-07-09","6,000","불검출","불검출","적합"
"3","활가리비","홋카이도","2014-07-09","7,000","불검출","불검출","적합"
"4","냉장갈치","와카야마현","2014-07-09","2,608","불검출","불검출","적합"
"5","냉장갈치","와카야마현","2014-07-09","1,800","불검출","불검출","적합"
"6","냉장민어(수조기)","야마구치현","2014-07-09","39","불검출","불검출","적합"
"7","냉장가오리","야마구치현","2014-07-09","120","불검출","불검출","적합"
"8","냉장명태","홋카이도","2014-07-09","3,470","불검출","불검출","적합"
"9","냉장갈치","와카야마현","2014-07-09","784","불검출","불검출","적합"
"10","냉장갈치","와카야마현","2014-07-09","240","불검출","불검출","적합"
"11","냉장민어(수조기)","야마구치현","2014-07-09","201","불검출","불검출","적합"
"12","냉장명태","홋카이도","2014-07-09","1,584","불검출","불검출","적합"
"13","냉장명태","홋카이도","2014-07-09","4,280","불검출","불검출","적합"
"14","냉장갈치","와카야마현","2014-07-09","3,320","불검출","불검출","적합"
"15","냉장홍어","홋카이도","2014-07-09","826","불검출","불검출","적합"
"16","활가리비","홋카이도","2014-07-09","6,712","불검출","불검출","적합"
"17","활가리비","홋카이도","2014-07-09","6,590","불검출","불검출","적합"
"18","냉장명태","홋카이도","2014-07-09","1,644","불검출","불검출","적합"
"19","냉장명태","홋카이도","2014-07-09","1,644","불검출","불검출","적합"
"20","냉장홍어","홋카이도","2014-07-09","639","불검출","불검출","적합"
"21","냉장준치","구마모토현","2014-07-09","224","불검출","불검출","적합"
"22","냉장갈치","와카야마현","2014-07-09","616","불검출","불검출","적합"
"23","활돔(벵에돔)","나가사키현","2014-07-09","744","불검출","불검출","적합"
"24","활돔(돌돔)","오이타현","2014-07-09","149","불검출","불검출","적합"
"25","활가리비","홋카이도","2014-07-09","6,956","불검출","불검출","적합"
"26","활장어(먹장어)","시마네현","2014-07-09","1,022","불검출","불검출","적합"
"27","활장어(먹장어)","야마구치현","2014-07-09","3,052","불검출","불검출","적합"
