"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 89건","","","","661,444","","",""
"1","혼합제제","효고현","2017-12-21","34","불검출","불검출","적합"
"2","혼합제제","효고현","2017-12-21","34","불검출","불검출","적합"
"3","혼합제제","효고현","2017-12-21","85","불검출","불검출","적합"
"4","탄산음료","효고현","2017-11-28","1,140","불검출","불검출","적합"
"5","어묵","시마네현","2017-11-15","200","불검출","불검출","적합"
"6","혼합제제","효고현","2017-12-18","136","불검출","불검출","적합"
"7","혼합제제","효고현","2017-07-04","136","불검출","불검출","적합"
"8","혼합제제","효고현","2017-12-21","136","불검출","불검출","적합"
"9","혼합제제","효고현","2017-12-06","68","불검출","불검출","적합"
"10","소스류","오사카부","2017-11-24","320","불검출","불검출","적합"
"11","혼합제제","효고현","2017-12-15","85","불검출","불검출","적합"
"12","발효식초","히로시마현","2017-11-25","551","불검출","불검출","적합"
"13","소스","히로시마현","2017-11-22","708","불검출","불검출","적합"
