"순번","품목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"1","냉장돔(참돔)","야마구치현","2018-01-19","140","불검출","불검출","적합"
"2","냉장갈치","오이타현","2018-01-19","200","불검출","불검출","적합"
"3","냉장명태","홋카이도","2018-01-19","3,920","불검출","불검출","적합"
"4","활게(참게)","후쿠오카현","2018-01-19","500","불검출","불검출","적합"
"5","냉장가오리","야마구치현","2018-01-19","430","불검출","불검출","적합"
"6","냉장명태","홋카이도","2018-01-19","1,058","불검출","불검출","적합"
"7","활장어(먹장어)","구마모토현","2018-01-19","610","불검출","불검출","적합"
"8","활돔(벵에돔)","구마모토현","2018-01-19","755","불검출","불검출","적합"
"9","냉장명태","홋카이도","2018-01-19","2,760","불검출","불검출","적합"
"10","냉장갈치","오이타현","2018-01-19","820","불검출","불검출","적합"
"11","활우렁쉥이","홋카이도","2018-01-19","8,551","불검출","불검출","적합"
"12","냉장명태","홋카이도","2018-01-19","1,300","불검출","불검출","적합"
"13","냉장갈치","야마구치현","2018-01-19","70","불검출","불검출","적합"
"14","활방어","나가사키현","2018-01-19","9,590","불검출","불검출","적합"
"15","냉장돔(참돔)","야마구치현","2018-01-19","3","불검출","불검출","적합"
"16","활대합(북방대합)","홋카이도","2018-01-19","426","불검출","불검출","적합"
"17","활돔(돌돔)","가나가와현","2018-01-19","1,332","불검출","불검출","적합"
"18","냉장명태","홋카이도","2018-01-19","2,600","불검출","불검출","적합"
"19","냉장명태","홋카이도","2018-01-19","1,950","불검출","불검출","적합"
"20","냉장명태","홋카이도","2018-01-19","9,100","불검출","불검출","적합"
