"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:100Bq/kg)","",""
"총 95건","","","","307,333","","",""
"1","캔디류","군마현","2019-04-13","6,240","불검출","불검출","적합"
"2","기타가공품","시즈오카현","2019-04-26","49","불검출","불검출","적합"
"3","혼합제제","오카야마현","2019-05-22","45","불검출","불검출","적합"
"4","혼합제제","오카야마현","2019-05-22","30","불검출","불검출","적합"
"5","초콜릿가공품","훗카이도","2019-05-11","50","불검출","불검출","적합"
"6","초콜릿가공품","훗카이도","2019-05-10","50","불검출","불검출","적합"
"7","소스","에히메현","2019-05-23","600","불검출","불검출","적합"
"8","어묵","사가현","2019-04-30","3,360","불검출","불검출","적합"
"9","청주","후쿠이현","2019-04-23","43","불검출","불검출","적합"
"10","소스","오사카부","2019-04-19","138","불검출","불검출","적합"
"11","빵류","사이타마현","2019-05-09","11,034","불검출","불검출","적합"
"12","소스","나가사키현","2019-04-23","505","불검출","불검출","적합"
"13","청주","니가타현","2019-05-06","130","불검출","불검출","적합"
"14","소스","나가사키현","2019-05-15","374","불검출","불검출","적합"
"15","청주","니가타현","2019-05-13","86","불검출","불검출","적합"
