"순번","품목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"21","활가리비","홋카이도","2019-06-18","4,960","불검출","불검출","적합"
"22","활돔(참돔)","에히메현","2019-06-18","10,351","불검출","불검출","적합"
"23","활전갱이(흑점줄전갱이)","에히메현","2019-06-18","1,629","불검출","불검출","적합"
"24","활가리비","홋카이도","2019-06-18","7,258","불검출","불검출","적합"
"25","냉장갈치","와카야마현","2019-06-18","840","불검출","불검출","적합"
"26","냉장명태","홋카이도","2019-06-18","1,728","불검출","불검출","적합"
"27","활가리비","홋카이도","2019-06-18","7,359","불검출","불검출","적합"
"28","냉장갈치","와카야마현","2019-06-18","800","불검출","불검출","적합"
"29","활돔(벤자리)","에히메현","2019-06-18","967","불검출","불검출","적합"
"30","활돔(참돔)","에히메현","2019-06-18","4,555","불검출","불검출","적합"
"31","냉장갈치","와카야마현","2019-06-18","1,008","불검출","불검출","적합"
"32","활가리비","홋카이도","2019-06-18","7,516","불검출","불검출","적합"
"33","활가리비","홋카이도","2019-06-18","7,510","불검출","불검출","적합"
"34","냉장홍어","홋카이도","2019-06-18","696","불검출","불검출","적합"
"35","활장어(먹장어)","후쿠오카현","2019-06-18","1,502","불검출","불검출","적합"
"36","냉장명태","홋카이도","2019-06-18","840","불검출","불검출","적합"
"합계","","-","-","122,435","-","-","-"
