"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:100Bq/kg)","",""
"총 288건","","","","1,778,407","","",""
"1","혼합제제","미에현","2019-05-24","240","불검출","불검출","적합"
"2","혼합제제","오사카부","2019-05-23","300","불검출","불검출","적합"
"3","과·채음료","후쿠오카현","2019-03-21","455","불검출","불검출","적합"
"4","혼합제제","오카야마현","2019-05-31","30","불검출","불검출","적합"
"5","가공유지","오사카부","2019-05-09","50","불검출","불검출","적합"
"6","과·채음료","후쿠오카현","2019-03-23","455","불검출","불검출","적합"
"7","과자","나가노현","2019-05-07","3,629","불검출","불검출","적합"
"8","소스","훗카이도","2019-03-30","2,400","불검출","불검출","적합"
"9","된장","훗카이도","2019-05-02","200","불검출","불검출","적합"
"10","소스","훗카이도","2019-05-10","72","불검출","불검출","적합"
"11","즉석조리식품","훗카이도","2019-05-05","208","불검출","불검출","적합"
"12","청주","나가노현","2019-05-09","173","불검출","불검출","적합"
"13","청주","나가노현","2019-05-13","173","불검출","불검출","적합"
"14","캔디류","야마나시현","2019-05-16","168","불검출","불검출","적합"
"15","과자","아이치현","2019-05-02","61","불검출","불검출","적합"
