"순번","품목명","제조·생산지","유통기한
(포장일자)","중량(kg)","검사결과","",""
"","","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:100Bq/kg)","",""
"합계","","","","14,920.4","","",""
"1","능이/건조","중국","(2019.6.3.)","65","5","-","적합"
"2","능이/냉동","중국","(2019.5.10.)","13,985","2","-","적합"
"3","잼","스웨덴","2020.10.2.","870.4","18","-","적합"
