"순번","품
목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(
기준
:100Bq/Kg)","요오드
(
기준
:300Bq/Kg)","판정"
"합계","건46","-","-","185,137","-","-","-"
"1","활돔 참돔(
)","에히메현","2016-03-03","4,890","불검출","불검출","적합"
"2","활돔 벵에돔
(
)","에히메현","2016-03-03","904","불검출","불검출","적합"
"3","활돔 참돔(
)","에히메현","2016-03-03","6,955","불검출","불검출","적합"
"4","활돔 벵에돔
(
)","에히메현","2016-03-03","906","불검출","불검출","적합"
"5","활가리비","홋카이도","2016-03-03","8,033","불검출","불검출","적합"
"6","활문어","홋카이도","2016-03-03","2,500","불검출","불검출","적합"
"7","활가리비","홋카이도","2016-03-03","6,500","불검출","불검출","적합"
"8","활가리비","홋카이도","2016-03-03","6,500","불검출","불검출","적합"
"9","활가리비","홋카이도","2016-03-03","6,714","불검출","불검출","적합"
"10","활장어 먹장어
(
)","나가사키현","2016-03-03","1,121","불검출","불검출","적합"
"11","활가리비","홋카이도","2016-03-03","6,965","불검출","불검출","적합"
"12","냉동다랑어 남방(
참다랑어)","인도양","2016-03-03","2,597","불검출","불검출","적합"
"13","냉동다랑어 눈다(
랑어 목살,
)","대서양","2016-03-03","1,500","불검출","불검출","적합"
"14","냉동다랑어 눈다(
랑어 목살,
)","태평양","2016-03-03","1,500","불검출","불검출","적합"
"15","냉동다랑어 눈다(
랑어 횟감
,F,
)","태평양","2016-03-03","1,357","불검출","불검출","적합"
