"순번","품
목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(
기준
:100Bq/Kg)","요오드
(
기준
:300Bq/Kg)","판정"
"합계","건20","-","-","77,493","-","-","-"
"1","활돔 참돔(
)","에히메현","2016-03-04","4,905","불검출","불검출","적합"
"2","활돔 참돔(
)","에히메현","2016-03-04","7,557","불검출","불검출","적합"
"3","활돔 참돔(
)","에히메현","2016-03-04","9,335","불검출","불검출","적합"
"4","활가리비","홋카이도","2016-03-04","6,972","불검출","불검출","적합"
"5","활가리비","홋카이도","2016-03-04","7,018","불검출","불검출","적합"
"6","냉장갈치","야마구치현","2016-03-04","1,232","불검출","불검출","적합"
"7","활가리비","홋카이도","2016-03-04","8,097","불검출","불검출","적합"
"8","냉장명태","홋카이도","2016-03-04","10,800","불검출","불검출","적합"
"9","활해삼","와카야마현","2016-03-04","1,580","불검출","불검출","적합"
"10","활돔 돌돔(
)","미에현","2016-03-04","304","불검출","불검출","적합"
"11","냉장명태","홋카이도","2016-03-04","4,966","불검출","불검출","적합"
"12","냉장대구","홋카이도","2016-03-04","3,780","불검출","불검출","적합"
"13","활해삼","나가사키현","2016-03-04","590","불검출","불검출","적합"
"14","냉장명태","홋카이도","2016-03-04","4,979","불검출","불검출","적합"
"15","냉장홍어","홋카이도","2016-03-04","492","불검출","불검출","적합"
