"순번","품      목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","","-","-","148,301.1","-","-","-"
"1","활돔(참돔)","에히메현","2016-07-26","9,123","불검출","불검출","적합"
"2","활장어(먹장어)","나가사키현","2016-07-26","779","불검출","불검출","적합"
"3","활돔(참돔)","에히메현","2016-07-26","9,769","불검출","불검출","적합"
"4","활돔(참돔)","구마모토현","2016-07-26","4,968","불검출","불검출","적합"
"5","활돔(참돔)","에히메현","2016-07-26","5,219","불검출","불검출","적합"
"6","활돔(참돔)","에히메현","2016-07-26","2,351","불검출","불검출","적합"
"7","활돔(참돔)","구마모토현","2016-07-26","8,872","불검출","불검출","적합"
"8","활돔(참돔)","구마모토현","2016-07-26","8,621","불검출","불검출","적합"
"9","활돔(참돔)","에히메현","2016-07-26","7,235","불검출","불검출","적합"
"10","활돔(참돔)","에히메현","2016-07-26","2,498","불검출","불검출","적합"
"11","활가리비","홋카이도","2016-07-26","7,000","불검출","불검출","적합"
"12","활가리비","홋카이도","2016-07-26","7,510","불검출","불검출","적합"
"13","냉장준치","구마모토현","2016-07-26","931","불검출","불검출","적합"
"14","냉장갈치","와카야마현","2016-07-26","240","불검출","불검출","적합"
"15","냉장갈치","와카야마현","2016-07-26","864","불검출","불검출","적합"
"16","활돔(강담돔)","오이타현","2016-07-26","229","불검출","불검출","적합"
