"순번","품      목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","","-","-","83,835","-","-","-"
"1","활전갱이
(흑점줄전갱이)","에히메현","2016-07-21","973","불검출","불검출","적합"
"2","활가리비","홋카이도","2016-07-21","7,000","불검출","불검출","적합"
"3","냉장갈치","와카야마현","2016-07-21","496","불검출","불검출","적합"
"4","냉장홍어","홋카이도","2016-07-21","1,873","불검출","불검출","적합"
"5","냉장명태","홋카이도","2016-07-21","1,066","불검출","불검출","적합"
"6","냉장준치","구마모토현","2016-07-21","700","불검출","불검출","적합"
"7","냉장갈치","히로시마현","2016-07-21","370","불검출","불검출","적합"
"8","냉장돔(황돔)","나가사키현","2016-07-21","150","불검출","불검출","적합"
"9","냉장명태","홋카이도","2016-07-21","7,200","불검출","불검출","적합"
"10","냉장갈치","야마구치현","2016-07-21","4,104","불검출","불검출","적합"
"11","냉장병어","야마구치현","2016-07-21","190","불검출","불검출","적합"
"12","냉장갈치","에히메현","2016-07-21","265","불검출","불검출","적합"
"13","냉장돔(황돔)","나가사키현","2016-07-21","1,040","불검출","불검출","적합"
"14","냉장명태","홋카이도","2016-07-21","2,340","불검출","불검출","적합"
