"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 204건","","","","495,388","","",""
"1","소스류","히로시마현","2017-09-26","720","불검출","불검출","적합"
"2","혼합음료","도쿄도","2017-08-31","13,786","불검출","불검출","적합"
"3","청주","니가타현","2017-09-01","3,456","불검출","불검출","적합"
"4","청주","미야기현","2017-09-04","43","불검출","불검출","적합"
"5","청주","아이치현","2017-09-01","600","불검출","불검출","적합"
"6","청주","훗카이도","2017-07-20","108","불검출","불검출","적합"
"7","청주","야마가타현","2017-09-12","86","불검출","불검출","적합"
"8","청주","나라현","2017-09-01","86","불검출","불검출","적합"
"9","청주","니가타현","2017-08-28","504","불검출","불검출","적합"
"10","청주","나가노현","2017-07-12","346","불검출","불검출","적합"
"11","청주","니가타현","2017-08-31","1,901","불검출","불검출","적합"
"12","청주","니가타현","2017-08-28","864","불검출","불검출","적합"
"13","청주","니가타현","2017-09-01","86","불검출","불검출","적합"
