"순 번
품목명","제조·생산지","제조일자","중량(kg)","검사결과"
"","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)"
"합계","1건","","6,520",""
"1
건어포류
중국
2014-06-30
6,520","","","","2
불검출
적합"
