"순번","품목","원산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"1","냉동곤이(명태)","러시아","2019-04-25","42","불검출","불검출","적합"
"2","냉동가자미(각시가자미)","러시아","2019-04-25","19,140","불검출","불검출","적합"
"3","냉동곤이(대구)","러시아","2019-04-25","4,822","불검출","불검출","적합"
"4","냉동명태(F)","러시아","2019-04-25","4,000","불검출","불검출","적합"
"5","냉동명태(F)","러시아","2019-04-25","20,384","불검출","불검출","적합"
"6","냉동대구(F)","러시아","2019-04-25","2,100","불검출","불검출","적합"
"7","냉동곤이(명태)","러시아","2019-04-25","13,547","불검출","불검출","적합"
"8","냉동어란(명란)","러시아","2019-04-25","11,295","불검출","불검출","적합"
"9","냉동곤이(명태)","러시아","2019-04-25","6,382","불검출","불검출","적합"
"10","냉동꽁치","대만","2019-04-25","10,271","불검출","불검출","적합"
"합계","","-","-","91,983","-","-","-"
