"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 201건","","","","482,780","","",""
"1","소스","도치기현","2018-08-10","3,218","불검출","불검출","적합"
"2","소스","도치기현","2018-09-07","12,660","불검출","불검출","적합"
"3","소스","아이치현","2018-07-18","85","불검출","불검출","적합"
"4","발효식초","도치기현","2018-08-09","77","불검출","불검출","적합"
"5","소스","히로시마현","2018-07-31","1,223","불검출","불검출","적합"
"6","커피/건조","에티오피아","","18,000","불검출","불검출","적합"
"7","소스","히로시마현","2018-09-10","1,890","불검출","불검출","적합"
"8","소스","히로시마현","2018-08-18","1,320","불검출","불검출","적합"
"9","소스","히로시마현","2018-09-04","2,012","불검출","불검출","적합"
"10","소스","히로시마현","2018-08-09","1,980","불검출","불검출","적합"
"11","소스","히로시마현","2018-08-21","708","불검출","불검출","적합"
"12","소스","도치기현","2018-08-27","1,253","불검출","불검출","적합"
"13","소스","히로시마현","2018-05-18","246","불검출","불검출","적합"
"14","기타천연착향료","가나가와현","2018-09-03","50","불검출","불검출","적합"
